iShares Russell 1000 ETF
Fund Holdings as of,"Apr 22, 2026"
Inception Date,"May 15, 2000"
Shares Outstanding,"119,000,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"HOOD","ROBINHOOD MARKETS INC CLASS A","Financials","Equity","47,010,626.02","0.10","47,010,626.02","531,614.00","88.43","United States","NASDAQ","USD","1.00","USD","-"
"DELL","DELL TECHNOLOGIES INC CLASS C","Information Technology","Equity","46,963,058.85","0.10","46,963,058.85","218,789.00","214.65","United States","NYSE","USD","1.00","USD","-"
"MPC","MARATHON PETROLEUM CORP","Energy","Equity","46,787,262.09","0.10","46,787,262.09","210,687.00","222.07","United States","NYSE","USD","1.00","USD","-"
"DASH","DOORDASH INC CLASS A","Consumer Discretionary","Equity","46,700,854.86","0.10","46,700,854.86","256,218.00","182.27","United States","NASDAQ","USD","1.00","USD","-"
"CL","COLGATE-PALMOLIVE","Consumer Staples","Equity","46,394,425.35","0.10","46,394,425.35","563,381.00","82.35","United States","NYSE","USD","1.00","USD","-"
"APD","AIR PRODUCTS AND CHEMICALS INC","Materials","Equity","46,324,236.00","0.10","46,324,236.00","156,100.00","296.76","United States","NYSE","USD","1.00","USD","-"
"TDG","TRANSDIGM GROUP INC","Industrials","Equity","46,030,063.50","0.10","46,030,063.50","38,754.00","1,187.75","United States","NYSE","USD","1.00","USD","-"
"TRV","TRAVELERS COMPANIES INC","Financials","Equity","45,863,203.68","0.10","45,863,203.68","152,026.00","301.68","United States","NYSE","USD","1.00","USD","-"
"SPG","SIMON PROPERTY GROUP REIT INC","Real Estate","Equity","45,834,805.20","0.10","45,834,805.20","227,265.00","201.68","United States","NYSE","USD","1.00","USD","-"
"NET","CLOUDFLARE INC CLASS A","Information Technology","Equity","45,533,059.88","0.10","45,533,059.88","219,373.00","207.56","United States","NYSE","USD","1.00","USD","-"
"PSX","PHILLIPS 66","Energy","Equity","45,501,702.75","0.10","45,501,702.75","283,235.00","160.65","United States","NYSE","USD","1.00","USD","-"
"PCAR","PACCAR INC","Industrials","Equity","45,355,381.47","0.10","45,355,381.47","362,061.00","125.27","United States","NASDAQ","USD","1.00","USD","-"
"TFC","TRUIST FINANCIAL CORP","Financials","Equity","45,095,080.75","0.10","45,095,080.75","885,085.00","50.95","United States","NYSE","USD","1.00","USD","-"
"WBD","WARNER BROS. DISCOVERY INC SERIES","Communication","Equity","44,684,495.34","0.10","44,684,495.34","1,634,998.00","27.33","United States","NASDAQ","USD","1.00","USD","-"
"LHX","L3HARRIS TECHNOLOGIES INC","Industrials","Equity","43,570,837.52","0.10","43,570,837.52","131,372.00","331.66","United States","NYSE","USD","1.00","USD","-"
"BKR","BAKER HUGHES CLASS A","Energy","Equity","43,481,310.24","0.09","43,481,310.24","695,256.00","62.54","United States","NASDAQ","USD","1.00","USD","-"
"KMI","KINDER MORGAN INC","Energy","Equity","43,355,534.93","0.09","43,355,534.93","1,362,953.00","31.81","United States","NYSE","USD","1.00","USD","-"
"LITE","LUMENTUM HOLDINGS INC","Information Technology","Equity","43,071,100.80","0.09","43,071,100.80","49,303.00","873.60","United States","NASDAQ","USD","1.00","USD","-"
"COHR","COHERENT CORP","Information Technology","Equity","42,943,089.10","0.09","42,943,089.10","122,530.00","350.47","United States","NYSE","USD","1.00","USD","-"
"SRE","SEMPRA","Utilities","Equity","42,285,928.82","0.09","42,285,928.82","457,739.00","92.38","United States","NYSE","USD","1.00","USD","-"
"ABNB","AIRBNB INC CLASS A","Consumer Discretionary","Equity","42,205,811.40","0.09","42,205,811.40","292,730.00","144.18","United States","NASDAQ","USD","1.00","USD","-"
"TER","TERADYNE INC","Information Technology","Equity","42,184,913.60","0.09","42,184,913.60","109,520.00","385.18","United States","NASDAQ","USD","1.00","USD","-"
"FIX","COMFORT SYSTEMS USA INC","Industrials","Equity","42,181,025.40","0.09","42,181,025.40","24,460.00","1,724.49","United States","NYSE","USD","1.00","USD","-"
"CTAS","CINTAS CORP","Industrials","Equity","42,091,138.74","0.09","42,091,138.74","240,989.00","174.66","United States","NASDAQ","USD","1.00","USD","-"
"AZO","AUTOZONE INC","Consumer Discretionary","Equity","42,002,883.00","0.09","42,002,883.00","11,700.00","3,589.99","United States","NYSE","USD","1.00","USD","-"
"TGT","TARGET CORP","Consumer Staples","Equity","41,650,168.40","0.09","41,650,168.40","318,914.00","130.60","United States","NYSE","USD","1.00","USD","-"
"XTSLA","BLK CSH FND TREASURY SL AGENCY","Cash and/or Derivatives","Money Market","41,045,193.69","0.09","41,045,193.69","41,045,194.00","1.00","United States","-","USD","1.00","USD","-"
"KEYS","KEYSIGHT TECHNOLOGIES INC","Information Technology","Equity","40,969,609.05","0.09","40,969,609.05","120,865.00","338.97","United States","NYSE","USD","1.00","USD","-"
"O","REALTY INCOME REIT CORP","Real Estate","Equity","40,839,605.12","0.09","40,839,605.12","644,768.00","63.34","United States","NYSE","USD","1.00","USD","-"
"COR","CENCORA INC","Health Care","Equity","39,554,890.00","0.09","39,554,890.00","128,300.00","308.30","United States","NYSE","USD","1.00","USD","-"
"CVNA","CARVANA CLASS A","Consumer Discretionary","Equity","39,431,251.53","0.09","39,431,251.53","94,607.00","416.79","United States","NYSE","USD","1.00","USD","-"
"AJG","ARTHUR J GALLAGHER","Financials","Equity","39,325,076.83","0.09","39,325,076.83","177,853.00","221.11","United States","NYSE","USD","1.00","USD","-"
"MSTR","STRATEGY INC CLASS A","Information Technology","Equity","39,194,105.92","0.09","39,194,105.92","218,522.00","179.36","United States","NASDAQ","USD","1.00","USD","-"
"ALL","ALLSTATE CORP","Financials","Equity","39,120,607.20","0.09","39,120,607.20","182,670.00","214.16","United States","NYSE","USD","1.00","USD","-"
"LNG","CHENIERE ENERGY INC","Energy","Equity","38,397,734.92","0.08","38,397,734.92","149,129.00","257.48","United States","NYSE","USD","1.00","USD","-"
"APO","APOLLO GLOBAL MANAGEMENT INC","Financials","Equity","38,146,522.32","0.08","38,146,522.32","295,572.00","129.06","United States","NYSE","USD","1.00","USD","-"
"AFL","AFLAC INC","Financials","Equity","37,844,779.50","0.08","37,844,779.50","329,802.00","114.75","United States","NYSE","USD","1.00","USD","-"
"OKE","ONEOK INC","Energy","Equity","37,814,333.70","0.08","37,814,333.70","439,395.00","86.06","United States","NYSE","USD","1.00","USD","-"
"FTNT","FORTINET INC","Information Technology","Equity","37,765,707.60","0.08","37,765,707.60","433,640.00","87.09","United States","NASDAQ","USD","1.00","USD","-"
"CTVA","CORTEVA INC","Materials","Equity","37,638,561.60","0.08","37,638,561.60","474,336.00","79.35","United States","NYSE","USD","1.00","USD","-"
"NKE","NIKE INC CLASS B","Consumer Discretionary","Equity","37,458,742.00","0.08","37,458,742.00","820,025.00","45.68","United States","NYSE","USD","1.00","USD","-"
"AME","AMETEK INC","Industrials","Equity","37,251,093.48","0.08","37,251,093.48","161,638.00","230.46","United States","NYSE","USD","1.00","USD","-"
"MNST","MONSTER BEVERAGE CORP","Consumer Staples","Equity","37,186,335.20","0.08","37,186,335.20","489,616.00","75.95","United States","NASDAQ","USD","1.00","USD","-"
"ADSK","AUTODESK INC","Information Technology","Equity","36,979,778.47","0.08","36,979,778.47","149,371.00","247.57","United States","NASDAQ","USD","1.00","USD","-"
"VST","VISTRA CORP","Utilities","Equity","36,933,446.88","0.08","36,933,446.88","237,072.00","155.79","United States","NYSE","USD","1.00","USD","-"
"D","DOMINION ENERGY INC","Utilities","Equity","36,508,379.55","0.08","36,508,379.55","598,989.00","60.95","United States","NYSE","USD","1.00","USD","-"
"ZTS","ZOETIS INC CLASS A","Health Care","Equity","36,311,799.68","0.08","36,311,799.68","308,984.00","117.52","United States","NYSE","USD","1.00","USD","-"
"SNOW","SNOWFLAKE INC","Information Technology","Equity","36,145,133.80","0.08","36,145,133.80","232,340.00","155.57","United States","NYSE","USD","1.00","USD","-"
"FAST","FASTENAL","Industrials","Equity","36,105,209.40","0.08","36,105,209.40","805,740.00","44.81","United States","NASDAQ","USD","1.00","USD","-"
"EA","ELECTRONIC ARTS INC","Communication","Equity","35,848,665.08","0.08","35,848,665.08","176,786.00","202.78","United States","NASDAQ","USD","1.00","USD","-"
"URI","UNITED RENTALS INC","Industrials","Equity","35,630,228.57","0.08","35,630,228.57","44,383.00","802.79","United States","NYSE","USD","1.00","USD","-"
"GWW","WW GRAINGER INC","Industrials","Equity","35,298,286.94","0.08","35,298,286.94","30,583.00","1,154.18","United States","NYSE","USD","1.00","USD","-"
"TRGP","TARGA RESOURCES CORP","Energy","Equity","35,178,551.46","0.08","35,178,551.46","148,602.00","236.73","United States","NYSE","USD","1.00","USD","-"
"AU","ANGLOGOLD ASHANTI PLC","Materials","Equity","35,020,149.48","0.08","35,020,149.48","354,204.00","98.87","South Africa","NYSE","USD","1.00","USD","-"
"FERG","FERGUSON ENTERPRISES INC","Industrials","Equity","35,012,027.86","0.08","35,012,027.86","133,598.00","262.07","United States","NYSE","USD","1.00","USD","-"
"ETR","ENTERGY CORP","Utilities","Equity","34,697,522.30","0.08","34,697,522.30","314,090.00","110.47","United States","NYSE","USD","1.00","USD","-"
"NU","NU HOLDINGS CLASS A","Financials","Equity","34,690,654.35","0.08","34,690,654.35","2,336,071.00","14.85","Brazil","NYSE","USD","1.00","USD","-"
"F","FORD MOTOR CO","Consumer Discretionary","Equity","34,646,136.06","0.08","34,646,136.06","2,743,162.00","12.63","United States","NYSE","USD","1.00","USD","-"
"NUE","NUCOR CORP","Materials","Equity","34,624,844.52","0.08","34,624,844.52","161,602.00","214.26","United States","NYSE","USD","1.00","USD","-"
"PYPL","PAYPAL HOLDINGS INC","Financials","Equity","33,836,956.40","0.07","33,836,956.40","660,620.00","51.22","United States","NASDAQ","USD","1.00","USD","-"
"PSA","PUBLIC STORAGE REIT","Real Estate","Equity","33,714,119.67","0.07","33,714,119.67","110,607.00","304.81","United States","NYSE","USD","1.00","USD","-"
"CAH","CARDINAL HEALTH INC","Health Care","Equity","33,650,886.15","0.07","33,650,886.15","167,793.00","200.55","United States","NYSE","USD","1.00","USD","-"
"EBAY","EBAY INC","Consumer Discretionary","Equity","33,385,417.80","0.07","33,385,417.80","316,060.00","105.63","United States","NASDAQ","USD","1.00","USD","-"
"CARR","CARRIER GLOBAL CORP","Industrials","Equity","33,314,559.80","0.07","33,314,559.80","549,292.00","60.65","United States","NYSE","USD","1.00","USD","-"
"EW","EDWARDS LIFESCIENCES CORP","Health Care","Equity","32,945,213.11","0.07","32,945,213.11","404,087.00","81.53","United States","NYSE","USD","1.00","USD","-"
"EXC","EXELON CORP","Utilities","Equity","32,561,058.60","0.07","32,561,058.60","710,010.00","45.86","United States","NASDAQ","USD","1.00","USD","-"
"XEL","XCEL ENERGY INC","Utilities","Equity","32,523,832.35","0.07","32,523,832.35","416,385.00","78.11","United States","NASDAQ","USD","1.00","USD","-"
"ROK","ROCKWELL AUTOMATION INC","Industrials","Equity","32,426,876.38","0.07","32,426,876.38","79,669.00","407.02","United States","NYSE","USD","1.00","USD","-"
"CMG","CHIPOTLE MEXICAN GRILL INC","Consumer Discretionary","Equity","32,341,436.06","0.07","32,341,436.06","921,146.00","35.11","United States","NYSE","USD","1.00","USD","-"
"IDXX","IDEXX LABORATORIES INC","Health Care","Equity","32,205,998.10","0.07","32,205,998.10","55,686.00","578.35","United States","NASDAQ","USD","1.00","USD","-"
"COIN","COINBASE GLOBAL INC CLASS A","Financials","Equity","32,162,509.28","0.07","32,162,509.28","155,947.00","206.24","United States","NASDAQ","USD","1.00","USD","-"
"CBRE","CBRE GROUP INC CLASS A","Real Estate","Equity","32,094,277.12","0.07","32,094,277.12","209,056.00","153.52","United States","NYSE","USD","1.00","USD","-"
"FITB","FIFTH THIRD BANCORP","Financials","Equity","31,903,157.76","0.07","31,903,157.76","630,996.00","50.56","United States","NASDAQ","USD","1.00","USD","-"
"BDX","BECTON DICKINSON","Health Care","Equity","31,298,568.95","0.07","31,298,568.95","201,083.00","155.65","United States","NYSE","USD","1.00","USD","-"
"DAL","DELTA AIR LINES INC","Industrials","Equity","31,294,564.96","0.07","31,294,564.96","457,456.00","68.41","United States","NYSE","USD","1.00","USD","-"
"WAB","WESTINGHOUSE AIR BRAKE TECHNOLOGIE","Industrials","Equity","31,183,383.28","0.07","31,183,383.28","119,239.00","261.52","United States","NYSE","USD","1.00","USD","-"
"YUM","YUM BRANDS INC","Consumer Discretionary","Equity","31,148,083.56","0.07","31,148,083.56","195,826.00","159.06","United States","NYSE","USD","1.00","USD","-"
"RKLB","ROCKET LAB CORP","Industrials","Equity","30,875,166.20","0.07","30,875,166.20","342,905.00","90.04","United States","NASDAQ","USD","1.00","USD","-"
"AMP","AMERIPRISE FINANCE INC","Financials","Equity","30,856,068.60","0.07","30,856,068.60","65,860.00","468.51","United States","NYSE","USD","1.00","USD","-"
"MCHP","MICROCHIP TECHNOLOGY INC","Information Technology","Equity","30,597,028.24","0.07","30,597,028.24","370,963.00","82.48","United States","NASDAQ","USD","1.00","USD","-"
"GRMN","GARMIN LTD","Consumer Discretionary","Equity","30,539,217.45","0.07","30,539,217.45","114,555.00","266.59","United States","NYSE","USD","1.00","USD","-"
"MSCI","MSCI INC","Financials","Equity","30,412,336.68","0.07","30,412,336.68","50,017.00","608.04","United States","NYSE","USD","1.00","USD","-"
"MET","METLIFE INC","Financials","Equity","29,922,318.41","0.07","29,922,318.41","388,753.00","76.97","United States","NYSE","USD","1.00","USD","-"
"STT","STATE STREET CORP","Financials","Equity","29,705,960.40","0.06","29,705,960.40","194,921.00","152.40","United States","NYSE","USD","1.00","USD","-"
"DHI","D R HORTON INC","Consumer Discretionary","Equity","29,660,665.96","0.06","29,660,665.96","184,022.00","161.18","United States","NYSE","USD","1.00","USD","-"
"RSG","REPUBLIC SERVICES INC","Industrials","Equity","29,211,329.97","0.06","29,211,329.97","142,293.00","205.29","United States","NYSE","USD","1.00","USD","-"
"DDOG","DATADOG INC CLASS A","Information Technology","Equity","28,858,318.88","0.06","28,858,318.88","218,392.00","132.14","United States","NASDAQ","USD","1.00","USD","-"
"AIG","AMERICAN INTERNATIONAL GROUP INC","Financials","Equity","28,735,538.50","0.06","28,735,538.50","377,950.00","76.03","United States","NYSE","USD","1.00","USD","-"
"ODFL","OLD DOMINION FREIGHT LINE INC","Industrials","Equity","28,580,021.58","0.06","28,580,021.58","129,921.00","219.98","United States","NASDAQ","USD","1.00","USD","-"
"OXY","OCCIDENTAL PETROLEUM CORP","Energy","Equity","28,099,806.35","0.06","28,099,806.35","492,547.00","57.05","United States","NYSE","USD","1.00","USD","-"
"TTWO","TAKE TWO INTERACTIVE SOFTWARE INC","Communication","Equity","27,757,913.61","0.06","27,757,913.61","127,219.00","218.19","United States","NASDAQ","USD","1.00","USD","-"
"KR","KROGER","Consumer Staples","Equity","27,698,499.84","0.06","27,698,499.84","406,912.00","68.07","United States","NYSE","USD","1.00","USD","-"
"ALNY","ALNYLAM PHARMACEUTICALS INC","Health Care","Equity","27,536,022.80","0.06","27,536,022.80","88,660.00","310.58","United States","NASDAQ","USD","1.00","USD","-"
"PEG","PUBLIC SERVICE ENTERPRISE GROUP IN","Utilities","Equity","27,444,583.68","0.06","27,444,583.68","349,568.00","78.51","United States","NYSE","USD","1.00","USD","-"
"ROP","ROPER TECHNOLOGIES INC","Information Technology","Equity","27,441,191.01","0.06","27,441,191.01","75,237.00","364.73","United States","NASDAQ","USD","1.00","USD","-"
"ED","CONSOLIDATED EDISON INC","Utilities","Equity","27,389,004.61","0.06","27,389,004.61","253,297.00","108.13","United States","NYSE","USD","1.00","USD","-"
"XYZ","BLOCK INC CLASS A","Financials","Equity","27,392,095.00","0.06","27,392,095.00","377,822.00","72.50","United States","NYSE","USD","1.00","USD","-"
"NDAQ","NASDAQ INC","Financials","Equity","27,359,856.75","0.06","27,359,856.75","316,775.00","86.37","United States","NASDAQ","USD","1.00","USD","-"
"HIG","HARTFORD INSURANCE GROUP INC","Financials","Equity","27,086,961.86","0.06","27,086,961.86","196,126.00","138.11","United States","NYSE","USD","1.00","USD","-"
"VMC","VULCAN MATERIALS","Materials","Equity","26,833,724.45","0.06","26,833,724.45","92,495.00","290.11","United States","NYSE","USD","1.00","USD","-"
"EME","EMCOR GROUP INC","Industrials","Equity","26,788,140.00","0.06","26,788,140.00","31,149.00","860.00","United States","NYSE","USD","1.00","USD","-"
"FANG","DIAMONDBACK ENERGY INC","Energy","Equity","26,722,459.19","0.06","26,722,459.19","137,837.00","193.87","United States","NASDAQ","USD","1.00","USD","-"
"HPE","HEWLETT PACKARD ENTERPRISE","Information Technology","Equity","26,611,119.96","0.06","26,611,119.96","933,396.00","28.51","United States","NYSE","USD","1.00","USD","-"
"CCI","CROWN CASTLE INC","Real Estate","Equity","26,257,820.88","0.06","26,257,820.88","305,288.00","86.01","United States","NYSE","USD","1.00","USD","-"
"VTR","VENTAS REIT INC","Real Estate","Equity","26,243,323.20","0.06","26,243,323.20","327,632.00","80.10","United States","NYSE","USD","1.00","USD","-"
"PCG","PG&E CORP","Utilities","Equity","26,029,432.64","0.06","26,029,432.64","1,542,028.00","16.88","United States","NYSE","USD","1.00","USD","-"
"RBLX","ROBLOX CORP CLASS A","Communication","Equity","25,885,072.08","0.06","25,885,072.08","434,022.00","59.64","United States","NYSE","USD","1.00","USD","-"
"WEC","WEC ENERGY GROUP INC","Utilities","Equity","25,827,964.00","0.06","25,827,964.00","227,800.00","113.38","United States","NYSE","USD","1.00","USD","-"
"MLM","MARTIN MARIETTA MATERIALS INC","Materials","Equity","25,753,131.36","0.06","25,753,131.36","42,174.00","610.64","United States","NYSE","USD","1.00","USD","-"
"ON","ON SEMICONDUCTOR CORP","Information Technology","Equity","25,436,545.64","0.06","25,436,545.64","285,836.00","88.99","United States","NASDAQ","USD","1.00","USD","-"
"SYY","SYSCO CORP","Consumer Staples","Equity","25,329,665.27","0.06","25,329,665.27","335,359.00","75.53","United States","NYSE","USD","1.00","USD","-"
"EQT","EQT CORP","Energy","Equity","24,796,046.72","0.05","24,796,046.72","422,276.00","58.72","United States","NYSE","USD","1.00","USD","-"
"JBL","JABIL INC","Information Technology","Equity","24,735,828.40","0.05","24,735,828.40","73,531.00","336.40","United States","NYSE","USD","1.00","USD","-"
"IRM","IRON MOUNTAIN INC","Real Estate","Equity","24,211,160.21","0.05","24,211,160.21","206,527.00","117.23","United States","NYSE","USD","1.00","USD","-"
"KDP","KEURIG DR PEPPER INC","Consumer Staples","Equity","24,210,239.18","0.05","24,210,239.18","912,217.00","26.54","United States","NASDAQ","USD","1.00","USD","-"
"A","AGILENT TECHNOLOGIES INC","Health Care","Equity","24,185,436.73","0.05","24,185,436.73","200,759.00","120.47","United States","NYSE","USD","1.00","USD","-"
"ACGL","ARCH CAPITAL GROUP LTD","Financials","Equity","24,151,856.60","0.05","24,151,856.60","249,580.00","96.77","United States","NASDAQ","USD","1.00","USD","-"
"FISV","FISERV INC","Financials","Equity","23,951,437.94","0.05","23,951,437.94","378,619.00","63.26","United States","NASDAQ","USD","1.00","USD","-"
"HBAN","HUNTINGTON BANCSHARES INC","Financials","Equity","23,638,642.98","0.05","23,638,642.98","1,405,389.00","16.82","United States","NASDAQ","USD","1.00","USD","-"
"PRU","PRUDENTIAL FINANCIAL INC","Financials","Equity","23,475,469.85","0.05","23,475,469.85","247,501.00","94.85","United States","NYSE","USD","1.00","USD","-"
"IBKR","INTERACTIVE BROKERS GROUP INC CLAS","Financials","Equity","23,392,617.13","0.05","23,392,617.13","299,483.00","78.11","United States","NASDAQ","USD","1.00","USD","-"
"MTB","M&T BANK CORP","Financials","Equity","23,385,729.02","0.05","23,385,729.02","107,486.00","217.57","United States","NYSE","USD","1.00","USD","-"
"IR","INGERSOLL RAND INC","Industrials","Equity","23,281,573.50","0.05","23,281,573.50","278,155.00","83.70","United States","NYSE","USD","1.00","USD","-"
"ADM","ARCHER DANIELS MIDLAND","Consumer Staples","Equity","23,236,207.53","0.05","23,236,207.53","334,671.00","69.43","United States","NYSE","USD","1.00","USD","-"
"KVUE","KENVUE INC","Consumer Staples","Equity","23,176,272.45","0.05","23,176,272.45","1,338,895.00","17.31","United States","NYSE","USD","1.00","USD","-"
"WAT","WATERS CORP","Health Care","Equity","23,142,439.80","0.05","23,142,439.80","69,210.00","334.38","United States","NYSE","USD","1.00","USD","-"
"HAL","HALLIBURTON","Energy","Equity","22,963,984.04","0.05","22,963,984.04","587,164.00","39.11","United States","NYSE","USD","1.00","USD","-"
"GEHC","GE HEALTHCARE TECHNOLOGIES INC","Health Care","Equity","22,946,814.12","0.05","22,946,814.12","321,474.00","71.38","United States","NASDAQ","USD","1.00","USD","-"
"RMD","RESMED INC","Health Care","Equity","22,711,583.44","0.05","22,711,583.44","102,286.00","222.04","United States","NYSE","USD","1.00","USD","-"
"KMB","KIMBERLY CLARK CORP","Consumer Staples","Equity","22,431,487.50","0.05","22,431,487.50","231,850.00","96.75","United States","NASDAQ","USD","1.00","USD","-"
"NTRS","NORTHERN TRUST CORP","Financials","Equity","22,286,649.19","0.05","22,286,649.19","132,793.00","167.83","United States","NASDAQ","USD","1.00","USD","-"
"FLEX","FLEX LTD","Information Technology","Equity","22,274,802.56","0.05","22,274,802.56","260,768.00","85.42","United States","NASDAQ","USD","1.00","USD","-"
"STLD","STEEL DYNAMICS INC","Materials","Equity","21,764,510.10","0.05","21,764,510.10","95,685.00","227.46","United States","NASDAQ","USD","1.00","USD","-"
"CBOE","CBOE GLOBAL MARKETS INC","Financials","Equity","21,703,439.25","0.05","21,703,439.25","72,965.00","297.45","United States","Cboe BZX","USD","1.00","USD","-"
"EXPE","EXPEDIA GROUP INC","Consumer Discretionary","Equity","21,691,643.40","0.05","21,691,643.40","81,979.00","264.60","United States","NASDAQ","USD","1.00","USD","-"
"CCL","CARNIVAL CORP","Consumer Discretionary","Equity","21,627,916.92","0.05","21,627,916.92","802,818.00","26.94","United States","NYSE","USD","1.00","USD","-"
"TDY","TELEDYNE TECHNOLOGIES INC","Information Technology","Equity","21,505,284.12","0.05","21,505,284.12","32,748.00","656.69","United States","NYSE","USD","1.00","USD","-"
"NRG","NRG ENERGY INC","Utilities","Equity","21,459,521.60","0.05","21,459,521.60","143,446.00","149.60","United States","NYSE","USD","1.00","USD","-"
"OTIS","OTIS WORLDWIDE CORP","Industrials","Equity","21,453,915.12","0.05","21,453,915.12","275,474.00","77.88","United States","NYSE","USD","1.00","USD","-"
"AXON","AXON ENTERPRISE INC","Industrials","Equity","21,349,614.55","0.05","21,349,614.55","52,957.00","403.15","United States","NASDAQ","USD","1.00","USD","-"
"VICI","VICI PPTYS INC","Real Estate","Equity","21,186,406.20","0.05","21,186,406.20","751,291.00","28.20","United States","NYSE","USD","1.00","USD","-"
"INSM","INSMED INC","Health Care","Equity","21,171,521.28","0.05","21,171,521.28","146,536.00","144.48","United States","NASDAQ","USD","1.00","USD","-"
"TPR","TAPESTRY INC","Consumer Discretionary","Equity","21,074,936.77","0.05","21,074,936.77","144,181.00","146.17","United States","NYSE","USD","1.00","USD","-"
"UAL","UNITED AIRLINES HOLDINGS INC","Industrials","Equity","21,049,921.17","0.05","21,049,921.17","229,527.00","91.71","United States","NASDAQ","USD","1.00","USD","-"
"PAYX","PAYCHEX INC","Industrials","Equity","20,999,139.94","0.05","20,999,139.94","224,758.00","93.43","United States","NASDAQ","USD","1.00","USD","-"
"EXR","EXTRA SPACE STORAGE REIT INC","Real Estate","Equity","20,964,327.62","0.05","20,964,327.62","148,378.00","141.29","United States","NYSE","USD","1.00","USD","-"
"DTE","DTE ENERGY","Utilities","Equity","20,820,090.69","0.05","20,820,090.69","145,017.00","143.57","United States","NYSE","USD","1.00","USD","-"
"CPRT","COPART INC","Industrials","Equity","20,777,663.52","0.05","20,777,663.52","616,914.00","33.68","United States","NASDAQ","USD","1.00","USD","-"
"HUBB","HUBBELL INC","Industrials","Equity","20,736,570.00","0.05","20,736,570.00","37,720.00","549.75","United States","NYSE","USD","1.00","USD","-"
"XYL","XYLEM INC","Industrials","Equity","20,731,157.18","0.05","20,731,157.18","170,683.00","121.46","United States","NYSE","USD","1.00","USD","-"
"IQV","IQVIA HOLDINGS INC","Health Care","Equity","20,668,122.02","0.05","20,668,122.02","117,962.00","175.21","United States","NYSE","USD","1.00","USD","-"
"DOV","DOVER CORP","Industrials","Equity","20,660,015.41","0.05","20,660,015.41","95,573.00","216.17","United States","NYSE","USD","1.00","USD","-"
"AEE","AMEREN CORP","Utilities","Equity","20,565,085.44","0.04","20,565,085.44","188,256.00","109.24","United States","NYSE","USD","1.00","USD","-"
"FTI","TECHNIPFMC PLC","Energy","Equity","20,539,900.64","0.04","20,539,900.64","284,368.00","72.23","United States","NYSE","USD","1.00","USD","-"
"ATO","ATMOS ENERGY CORP","Utilities","Equity","20,443,807.23","0.04","20,443,807.23","112,027.00","182.49","United States","NYSE","USD","1.00","USD","-"
"DVN","DEVON ENERGY CORP","Energy","Equity","20,425,860.32","0.04","20,425,860.32","433,486.00","47.12","United States","NYSE","USD","1.00","USD","-"
"Q","QNITY ELECTRONICS INC","Information Technology","Equity","20,347,767.00","0.04","20,347,767.00","146,124.00","139.25","United States","NYSE","USD","1.00","USD","-"
"CASY","CASEYS GENERAL STORES INC","Consumer Staples","Equity","20,242,138.05","0.04","20,242,138.05","25,855.00","782.91","United States","NASDAQ","USD","1.00","USD","-"
"CTSH","COGNIZANT TECHNOLOGY SOLUTIONS COR","Information Technology","Equity","19,890,188.91","0.04","19,890,188.91","338,211.00","58.81","United States","NASDAQ","USD","1.00","USD","-"
"CFG","CITIZENS FINANCIAL GROUP INC","Financials","Equity","19,718,197.92","0.04","19,718,197.92","302,612.00","65.16","United States","NYSE","USD","1.00","USD","-"
"WTW","WILLIS TOWERS WATSON PLC","Financials","Equity","19,529,045.20","0.04","19,529,045.20","67,018.00","291.40","United States","NASDAQ","USD","1.00","USD","-"
"PPL","PPL CORP","Utilities","Equity","19,506,116.24","0.04","19,506,116.24","516,308.00","37.78","United States","NYSE","USD","1.00","USD","-"
"BIIB","BIOGEN INC","Health Care","Equity","19,490,157.94","0.04","19,490,157.94","102,542.00","190.07","United States","NASDAQ","USD","1.00","USD","-"
"DOW","DOW INC","Materials","Equity","19,326,564.99","0.04","19,326,564.99","497,979.00","38.81","United States","NYSE","USD","1.00","USD","-"
"CNP","CENTERPOINT ENERGY INC","Utilities","Equity","19,318,422.24","0.04","19,318,422.24","458,652.00","42.12","United States","NYSE","USD","1.00","USD","-"
"RJF","RAYMOND JAMES INC","Financials","Equity","19,276,370.00","0.04","19,276,370.00","124,750.00","154.52","United States","NYSE","USD","1.00","USD","-"
"NTRA","NATERA INC","Health Care","Equity","19,242,090.24","0.04","19,242,090.24","92,608.00","207.78","United States","NASDAQ","USD","1.00","USD","-"
"HSY","HERSHEY FOODS","Consumer Staples","Equity","19,209,852.20","0.04","19,209,852.20","101,828.00","188.65","United States","NYSE","USD","1.00","USD","-"
"SYF","SYNCHRONY FINANCIAL","Financials","Equity","19,149,132.81","0.04","19,149,132.81","243,349.00","78.69","United States","NYSE","USD","1.00","USD","-"
"WDAY","WORKDAY INC CLASS A","Information Technology","Equity","19,140,274.20","0.04","19,140,274.20","151,187.00","126.60","United States","NASDAQ","USD","1.00","USD","-"
"MTD","METTLER TOLEDO INC","Health Care","Equity","19,089,029.97","0.04","19,089,029.97","14,571.00","1,310.07","United States","NYSE","USD","1.00","USD","-"
"DG","DOLLAR GENERAL CORP","Consumer Staples","Equity","18,973,662.40","0.04","18,973,662.40","154,007.00","123.20","United States","NYSE","USD","1.00","USD","-"
