iShares Russell 1000 ETF
Fund Holdings as of,"Apr 22, 2026"
Inception Date,"May 15, 2000"
Shares Outstanding,"119,000,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"SPOT","SPOTIFY TECHNOLOGY SA","Communication","Equity","56,490,386.56","0.12","56,490,386.56","108,037.00","522.88","Sweden","NYSE","USD","1.00","USD","-"
"ORLY","OREILLY AUTOMOTIVE INC","Consumer Discretionary","Equity","55,609,280.64","0.12","55,609,280.64","592,092.00","93.92","United States","NASDAQ","USD","1.00","USD","Jan 01, 1970"
"NOC","NORTHROP GRUMMAN CORP","Industrials","Equity","55,447,275.18","0.12","55,447,275.18","94,039.00","589.62","United States","NYSE","USD","1.00","USD","-"
"CRH","CRH PUBLIC LIMITED PLC","Materials","Equity","54,553,593.25","0.12","54,553,593.25","469,925.00","116.09","United States","NYSE","USD","1.00","USD","-"
"MMM","3M","Industrials","Equity","54,488,482.16","0.12","54,488,482.16","373,772.00","145.78","United States","NYSE","USD","1.00","USD","-"
"ITW","ILLINOIS TOOL INC","Industrials","Equity","54,399,555.75","0.12","54,399,555.75","203,675.00","267.09","United States","NYSE","USD","1.00","USD","-"
"SHW","SHERWIN WILLIAMS","Materials","Equity","54,342,896.75","0.12","54,342,896.75","162,145.00","335.15","United States","NYSE","USD","1.00","USD","-"
"UPS","UNITED PARCEL SERVICE INC CLASS B","Industrials","Equity","54,270,356.40","0.12","54,270,356.40","515,388.00","105.30","United States","NYSE","USD","1.00","USD","-"
"HCA","HCA HEALTHCARE INC","Health Care","Equity","53,716,263.10","0.12","53,716,263.10","113,965.00","471.34","United States","NYSE","USD","1.00","USD","-"
"HLT","HILTON WORLDWIDE HOLDINGS INC","Consumer Discretionary","Equity","53,497,311.10","0.12","53,497,311.10","160,330.00","333.67","United States","NYSE","USD","1.00","USD","-"
"REGN","REGENERON PHARMACEUTICALS INC","Health Care","Equity","53,268,483.00","0.12","53,268,483.00","71,350.00","746.58","United States","NASDAQ","USD","1.00","USD","-"
"MSI","MOTOROLA SOLUTIONS INC","Information Technology","Equity","51,603,554.40","0.11","51,603,554.40","116,840.00","441.66","United States","NYSE","USD","1.00","USD","-"
"ELV","ELEVANCE HEALTH INC","Health Care","Equity","51,087,612.00","0.11","51,087,612.00","155,660.00","328.20","United States","NYSE","USD","1.00","USD","-"
"MDLZ","MONDELEZ INTERNATIONAL INC CLASS A","Consumer Staples","Equity","51,088,038.60","0.11","51,088,038.60","911,310.00","56.06","United States","NASDAQ","USD","1.00","USD","-"
"EOG","EOG RESOURCES INC","Energy","Equity","50,987,122.33","0.11","50,987,122.33","383,333.00","133.01","United States","NYSE","USD","1.00","USD","-"
"MCO","MOODYS CORP","Financials","Equity","50,815,540.16","0.11","50,815,540.16","108,878.00","466.72","United States","NYSE","USD","1.00","USD","-"
"CI","CIGNA","Health Care","Equity","50,768,131.10","0.11","50,768,131.10","184,813.00","274.70","United States","NYSE","USD","1.00","USD","-"
"ROST","ROSS STORES INC","Consumer Discretionary","Equity","50,697,670.26","0.11","50,697,670.26","223,989.00","226.34","United States","NASDAQ","USD","1.00","USD","-"
"KKR","KKR AND CO INC","Financials","Equity","50,407,010.24","0.11","50,407,010.24","475,897.00","105.92","United States","NYSE","USD","1.00","USD","-"
"VLO","VALERO ENERGY CORP","Energy","Equity","50,090,465.88","0.11","50,090,465.88","213,733.00","234.36","United States","NYSE","USD","1.00","USD","-"
"GM","GENERAL MOTORS","Consumer Discretionary","Equity","50,046,895.00","0.11","50,046,895.00","633,505.00","79.00","United States","NYSE","USD","1.00","USD","-"
"AEP","AMERICAN ELECTRIC POWER INC","Utilities","Equity","49,570,856.02","0.11","49,570,856.02","376,621.00","131.62","United States","NASDAQ","USD","1.00","USD","-"
"MPWR","MONOLITHIC POWER SYSTEMS INC","Information Technology","Equity","49,425,204.92","0.11","49,425,204.92","32,473.00","1,522.04","United States","NASDAQ","USD","1.00","USD","-"
"CIEN","CIENA CORP","Information Technology","Equity","49,385,056.78","0.11","49,385,056.78","98,974.00","498.97","United States","NYSE","USD","1.00","USD","-"
"DLR","DIGITAL REALTY TRUST REIT INC","Real Estate","Equity","48,616,556.12","0.11","48,616,556.12","242,042.00","200.86","United States","NYSE","USD","1.00","USD","-"
"AON","AON PLC CLASS A","Financials","Equity","48,087,316.34","0.10","48,087,316.34","147,119.00","326.86","United States","NYSE","USD","1.00","USD","-"
"NSC","NORFOLK SOUTHERN CORP","Industrials","Equity","47,379,875.61","0.10","47,379,875.61","158,817.00","298.33","United States","NYSE","USD","1.00","USD","-"
"RCL","ROYAL CARIBBEAN GROUP LTD","Consumer Discretionary","Equity","47,345,282.84","0.10","47,345,282.84","178,231.00","265.64","United States","NYSE","USD","1.00","USD","-"
"ECL","ECOLAB INC","Materials","Equity","47,215,233.31","0.10","47,215,233.31","175,567.00","268.93","United States","NYSE","USD","1.00","USD","-"
