ticker;earnings_date;timing;signal_valid;direction;compression_ok;max_pre_ratio;var_j_pct;j_date;j_close;entry_date;entry_open;exit_date;exit_close;raw_ret_pct;pnl_pct;sector;market_cap_b;n_analysts;j_date_dt;month;weekday;year;cap_bucket;analyst_bucket;surprise_abs;surprise_bucket;beta;beta_bucket;pre_trend_20d_pct;pre_trend_bucket;vix_at_j;vix_regime
CMG;2020-04-21;amc;True;long;True;0.85;12.15;2020-04-22;17.65;2020-04-23;17.9;2020-04-29;17.65;-1.41;-1.41;Consumer Cyclical;44.15;35.0;2020-04-22;4;Wednesday;2020;[40-50B];31+;12.15;12-15%;1.064;normal_0.8-1.2;33.62945548018883;strong_up_+10%+;26.97;stressed_25-30
MANH;2020-04-21;amc;True;long;True;0.854;11.54;2020-04-22;58.0;2020-04-23;59.6;2020-04-29;72.0;20.81;20.81;Technology;8.18;11.0;2020-04-22;4;Wednesday;2020;[0-10B];11-15;11.54;10-12%;1.047;normal_0.8-1.2;22.008449796318253;strong_up_+10%+;26.97;stressed_25-30
VMI;2020-04-22;amc;True;long;True;0.735;10.34;2020-04-23;116.38;2020-04-24;116.4;2020-04-30;117.24;0.72;0.72;Industrials;9.66;3.0;2020-04-23;4;Thursday;2020;[0-10B];1-5;10.34;10-12%;1.244;high_1.2-1.6;10.65995585181218;strong_up_+10%+;26.97;stressed_25-30
WST;2020-04-23;bmo;True;long;True;0.999;10.17;2020-04-23;187.42;2020-04-24;190.0;2020-04-30;189.26;-0.39;-0.39;Healthcare;21.96;12.0;2020-04-23;4;Thursday;2020;[20-30B];11-15;10.17;10-12%;1.151;normal_0.8-1.2;25.5683499276987;strong_up_+10%+;26.97;stressed_25-30
SPOT;2020-04-29;bmo;True;long;True;0.84;11.45;2020-04-29;155.78;2020-04-30;148.94;2020-05-06;148.48;-0.31;-0.31;Communication Services;106.22;39.0;2020-04-29;4;Wednesday;2020;[100-200B];31+;11.45;10-12%;1.702;very_high_1.6+;15.111585627937243;strong_up_+10%+;26.97;stressed_25-30
APA;2020-07-29;amc;True;long;True;0.738;17.29;2020-07-30;16.01;2020-07-31;15.94;2020-08-06;15.6;-2.13;-2.13;Energy;13.66;27.0;2020-07-30;7;Thursday;2020;[10-20B];21-30;17.29;15-20%;0.484;low_<0.8;1.1111082854094199;flat_-3_to_+3%;26.97;stressed_25-30
MDB;2022-06-01;amc;True;long;True;0.954;18.56;2022-06-02;286.7;2022-06-03;281.8;2022-06-09;290.38;3.04;3.04;Technology;20.74;36.0;2022-06-02;6;Thursday;2022;[20-30B];31+;18.56;15-20%;1.605;very_high_1.6+;-29.649133975381552;strong_down_<-10%;24.72;elevated_20-25
MRNA;2022-08-03;bmo;True;long;True;0.83;15.97;2022-08-03;186.49;2022-08-04;185.75;2022-08-10;174.27;-6.18;-6.18;Healthcare;20.96;20.0;2022-08-03;8;Wednesday;2022;[20-30B];16-20;15.97;15-20%;1.336;high_1.2-1.6;3.3881988555613405;up_+3_to_+10%;21.95;elevated_20-25
SMCI;2023-01-31;amc;True;long;True;0.832;10.24;2023-02-01;7.97;2023-02-02;8.03;2023-02-08;8.52;6.17;6.17;Technology;16.06;15.0;2023-02-01;2;Wednesday;2023;[10-20B];11-15;10.24;10-12%;1.629;very_high_1.6+;-11.900124628157043;strong_down_<-10%;17.87;normal_15-20
RPM;2023-07-26;bmo;True;long;True;0.912;11.24;2023-07-26;104.05;2023-07-27;106.24;2023-08-02;103.62;-2.47;-2.47;Basic Materials;13.54;14.0;2023-07-26;7;Wednesday;2023;[10-20B];11-15;11.24;10-12%;1.093;normal_0.8-1.2;12.76673219637722;strong_up_+10%+;13.19;calm_<15
DXCM;2023-10-26;amc;True;long;True;0.824;10.11;2023-10-27;89.29;2023-10-30;90.16;2023-11-03;97.46;8.1;8.1;Healthcare;24.19;24.0;2023-10-27;10;Friday;2023;[20-30B];21-30;10.11;10-12%;1.556;high_1.2-1.6;-15.053428540121816;strong_down_<-10%;21.27;elevated_20-25
