ticker;earnings_date;timing;signal_valid;direction;compression_ok;max_pre_ratio;var_j_pct;j_date;j_close;entry_date;entry_open;exit_date;exit_close;raw_ret_pct;pnl_pct;sector;market_cap_b;n_analysts
FAST;2020-04-14;bmo;True;long;True;0.796;7.03;2020-04-14;17.27;2020-04-15;17.08;2020-04-21;17.07;-0.03;-0.03;Industrials;52.18;12.0
ENTG;2020-04-21;bmo;True;short;True;0.824;-8.55;2020-04-21;47.26;2020-04-22;49.35;2020-04-28;53.02;7.44;-7.44;Technology;22.74;10.0
GWW;2020-04-23;bmo;True;short;True;1.367;-6.41;2020-04-23;258.43;2020-04-24;260.05;2020-04-30;275.58;5.97;-5.97;Industrials;55.14;15.0
WST;2020-04-23;bmo;True;long;True;0.999;10.17;2020-04-23;187.42;2020-04-24;190.0;2020-04-30;189.26;-0.39;-0.39;Healthcare;21.96;12.0
CNC;2020-04-28;bmo;True;short;True;0.801;-5.15;2020-04-28;67.17;2020-04-29;68.51;2020-05-05;68.35;-0.23;0.23;Healthcare;20.21;17.0
SHW;2020-04-29;bmo;True;long;True;0.852;5.92;2020-04-29;179.62;2020-04-30;175.96;2020-05-06;174.67;-0.73;-0.73;Basic Materials;83.66;21.0
XPO;2020-05-04;amc;True;long;True;0.837;8.03;2020-05-05;23.83;2020-05-06;23.83;2020-05-12;22.44;-5.86;-5.86;Industrials;26.39;23.0
RVMD;2021-05-10;amc;True;long;True;0.826;6.21;2021-05-11;31.65;2021-05-12;31.01;2021-05-18;33.01;6.45;6.45;Healthcare;28.44;20.0
MSI;2022-02-09;amc;True;short;True;0.831;-6.98;2022-02-10;221.86;2022-02-11;221.28;2022-02-17;215.91;-2.43;2.43;Technology;73.66;11.0
BWXT;2022-02-22;amc;True;long;True;0.723;5.54;2022-02-23;45.15;2022-02-24;44.64;2022-03-02;53.03;18.79;18.79;Industrials;20.66;11.0
MRNA;2022-08-03;bmo;True;long;True;0.83;15.97;2022-08-03;186.49;2022-08-04;185.75;2022-08-10;174.27;-6.18;-6.18;Healthcare;20.96;20.0
CVNA;2023-02-23;amc;True;short;True;0.806;-20.54;2023-02-24;8.01;2023-02-27;8.13;2023-03-03;10.09;24.11;-24.11;Consumer Cyclical;57.63;22.0
NUE;2023-04-20;bmo;True;long;True;0.782;5.5;2023-04-20;155.73;2023-04-21;154.62;2023-04-27;148.29;-4.09;-4.09;Basic Materials;48.5;13.0
GWW;2023-04-27;bmo;True;long;True;0.922;5.54;2023-04-27;696.36;2023-04-28;698.69;2023-05-04;667.5;-4.46;-4.46;Industrials;55.14;15.0
DXCM;2023-10-26;amc;True;long;True;0.824;10.11;2023-10-27;89.29;2023-10-30;90.16;2023-11-03;97.46;8.1;8.1;Healthcare;24.19;24.0
FIX;2023-10-26;amc;True;long;True;0.827;14.55;2023-10-27;175.92;2023-10-30;178.69;2023-11-03;187.81;5.1;5.1;Industrials;62.41;4.0
MNST;2023-11-02;amc;True;long;True;0.968;5.51;2023-11-03;55.56;2023-11-06;55.56;2023-11-10;55.28;-0.5;-0.5;Consumer Defensive;75.85;23.0
PH;2023-11-02;bmo;True;long;True;0.784;9.21;2023-11-02;404.58;2023-11-03;411.4;2023-11-09;412.82;0.35;0.35;Industrials;122.92;24.0
MSTR;2024-04-29;amc;True;short;True;0.793;-17.63;2024-04-30;106.5;2024-05-01;101.55;2024-05-07;125.75;23.82;-23.82;Technology;60.18;14.0
TPL;2024-05-08;amc;True;long;True;0.949;9.18;2024-05-09;205.08;2024-05-10;204.04;2024-05-16;202.84;-0.59;-0.59;Energy;30.28;2.0
DE;2024-08-15;bmo;True;long;True;0.849;6.26;2024-08-15;373.26;2024-08-16;372.14;2024-08-22;376.59;1.2;1.2;Industrials;159.89;23.0
UI;2024-08-23;bmo;True;long;True;0.91;9.83;2024-08-23;193.99;2024-08-26;200.0;2024-08-30;193.52;-3.24;-3.24;Technology;62.81;2.0
LVS;2025-01-29;amc;True;long;True;0.84;11.08;2025-01-30;48.24;2025-01-31;47.84;2025-02-06;42.32;-11.54;-11.54;Consumer Cyclical;34.47;19.0
PHM;2025-04-22;bmo;True;long;True;0.908;8.36;2025-04-22;100.89;2025-04-23;103.67;2025-04-29;101.74;-1.86;-1.86;Consumer Cyclical;25.1;14.0
GE;2025-04-22;bmo;True;long;True;0.761;6.07;2025-04-22;189.18;2025-04-23;195.94;2025-04-29;200.5;2.33;2.33;Industrials;295.0;20.0
BKR;2025-04-22;amc;True;short;True;0.84;-6.44;2025-04-23;35.89;2025-04-24;36.25;2025-04-30;35.4;-2.34;2.34;Energy;63.96;21.0
MMM;2025-04-22;bmo;True;long;True;0.924;8.12;2025-04-22;136.33;2025-04-23;139.38;2025-04-29;138.38;-0.72;-0.72;Industrials;75.54;17.0
RTX;2025-04-22;bmo;True;short;True;1.056;-9.81;2025-04-22;113.75;2025-04-23;117.38;2025-04-29;125.73;7.11;-7.11;Industrials;241.46;22.0
APH;2025-04-23;bmo;True;long;True;0.78;8.21;2025-04-23;71.15;2025-04-24;72.48;2025-04-30;76.95;6.17;6.17;Technology;184.64;18.0
WAB;2025-04-23;bmo;True;long;True;0.786;5.94;2025-04-23;181.97;2025-04-24;179.25;2025-04-30;184.74;3.06;3.06;Industrials;45.72;11.0
FCX;2025-04-24;bmo;True;long;True;0.733;6.93;2025-04-24;37.63;2025-04-25;37.01;2025-05-01;36.41;-1.62;-1.62;Basic Materials;88.36;21.0
OKE;2025-04-29;amc;True;short;True;0.824;-6.49;2025-04-30;82.16;2025-05-01;81.21;2025-05-07;80.25;-1.18;1.18;Energy;54.94;21.0
VMC;2025-04-30;bmo;True;long;True;0.846;6.92;2025-04-30;262.33;2025-05-01;264.01;2025-05-07;265.84;0.69;0.69;Basic Materials;38.22;22.0
WDC;2025-04-30;bmo;True;long;True;0.99;7.98;2025-04-30;43.86;2025-05-01;44.7;2025-05-07;44.3;-0.89;-0.89;Technology;137.83;23.0
FTAI;2025-04-30;amc;True;short;True;0.803;-18.87;2025-05-01;86.9;2025-05-02;93.5;2025-05-08;110.01;17.66;-17.66;Industrials;24.16;10.0
GRMN;2025-04-30;bmo;True;short;True;0.918;-8.44;2025-04-30;186.87;2025-05-01;185.9;2025-05-07;188.26;1.27;-1.27;Technology;50.3;7.0
CARR;2025-05-01;bmo;True;long;True;1.036;11.61;2025-05-01;69.8;2025-05-02;70.0;2025-05-08;70.5;0.71;0.71;Industrials;51.41;23.0
HWM;2025-05-01;bmo;True;long;True;0.866;6.82;2025-05-01;148.03;2025-05-02;150.21;2025-05-08;157.5;4.85;4.85;Industrials;98.7;21.0
MRNA;2025-05-01;bmo;True;short;True;0.796;-5.29;2025-05-01;27.03;2025-05-02;27.74;2025-05-08;24.38;-12.11;12.11;Healthcare;20.96;20.0
DXCM;2025-05-01;amc;True;long;True;0.651;16.17;2025-05-02;81.62;2025-05-05;81.65;2025-05-09;84.67;3.7;3.7;Healthcare;24.19;24.0
BDX;2025-05-01;bmo;True;short;True;0.572;-18.13;2025-05-01;133.29;2025-05-02;134.64;2025-05-08;132.04;-1.93;1.93;Healthcare;44.05;13.0
CHD;2025-05-01;bmo;True;short;True;0.914;-7.01;2025-05-01;92.38;2025-05-02;92.75;2025-05-08;92.18;-0.61;0.61;Consumer Defensive;22.4;19.0
ATI;2025-05-01;bmo;True;long;True;1.024;14.45;2025-05-01;62.24;2025-05-02;62.81;2025-05-08;71.06;13.13;13.13;Industrials;21.1;9.0
MSI;2025-05-01;amc;True;short;True;0.81;-7.46;2025-05-02;406.42;2025-05-05;405.94;2025-05-09;406.5;0.14;-0.14;Technology;73.66;11.0
HUBB;2025-05-01;bmo;True;short;True;0.992;-5.52;2025-05-01;343.12;2025-05-02;349.63;2025-05-08;354.57;1.41;-1.41;Industrials;29.66;13.0
MPWR;2025-05-01;amc;True;long;True;0.812;5.86;2025-05-02;636.89;2025-05-05;634.66;2025-05-09;637.77;0.49;0.49;Technology;78.2;14.0
NVT;2025-05-02;bmo;True;long;True;0.784;5.73;2025-05-02;59.62;2025-05-05;59.5;2025-05-09;61.48;3.33;3.33;Industrials;23.08;13.0
CPNG;2025-05-06;amc;True;long;True;0.866;10.83;2025-05-07;26.6;2025-05-08;25.9;2025-05-14;26.91;3.9;3.9;Consumer Cyclical;37.62;17.0
CTVA;2025-05-07;amc;True;long;True;0.858;7.01;2025-05-08;66.86;2025-05-09;66.71;2025-05-15;68.29;2.37;2.37;Basic Materials;53.46;21.0
ENTG;2025-05-07;bmo;True;short;True;0.855;-5.59;2025-05-07;78.39;2025-05-08;80.12;2025-05-14;81.78;2.07;-2.07;Technology;22.74;10.0
AXON;2025-05-07;amc;True;long;True;0.725;14.13;2025-05-08;686.83;2025-05-09;684.01;2025-05-15;728.39;6.49;6.49;Industrials;31.64;18.0
RKLB;2025-05-08;amc;True;short;True;0.871;-11.21;2025-05-09;20.51;2025-05-12;21.75;2025-05-16;25.57;17.54;-17.54;Industrials;48.9;15.0
WBD;2025-05-08;bmo;True;long;True;0.97;5.26;2025-05-08;9.01;2025-05-09;9.01;2025-05-15;9.14;1.44;1.44;Communication Services;67.43;13.0
ROIV;2025-05-29;bmo;True;long;True;0.907;6.4;2025-05-29;11.3;2025-05-30;11.3;2025-06-05;11.2;-0.88;-0.88;Healthcare;20.14;12.0
FICO;2025-07-30;amc;True;short;True;0.645;-5.96;2025-07-31;1436.72;2025-08-01;1425.0;2025-08-07;1333.62;-6.41;6.41;Technology;23.24;20.0
SW;2025-10-29;bmo;True;short;True;0.788;-12.18;2025-10-29;37.84;2025-10-30;37.42;2025-11-05;36.05;-3.66;3.66;Consumer Cyclical;21.24;14.0
IBM;2026-01-28;amc;True;long;True;1.004;5.13;2026-01-29;309.24;2026-01-30;307.6;2026-02-05;289.89;-5.76;-5.76;Technology;217.19;20.0
