date;quarter;type
2026-05-28;Q2-2026;earnings
2026-02-26;Q1-2026;earnings
2025-11-25;Q4-2025;earnings
2025-08-28;Q3-2025;earnings
2025-05-29;Q2-2025;earnings
2025-02-26;Q1-2025;earnings
2024-11-26;Q4-2024;earnings
2024-08-27;Q3-2024;earnings
2024-05-30;Q2-2024;earnings
2024-02-27;Q1-2024;earnings
2023-11-30;Q4-2023;earnings
2023-08-29;Q3-2023;earnings
2023-05-30;Q2-2023;earnings
2023-02-28;Q1-2023;earnings
2022-12-01;Q4-2022;earnings
2022-08-30;Q3-2022;earnings
2022-05-31;Q2-2022;earnings
2022-02-28;Q1-2022;earnings
2021-11-30;Q4-2021;earnings
2021-08-31;Q3-2021;earnings
2021-06-01;Q2-2021;earnings
2021-03-02;Q1-2021;earnings
2020-11-23;Q4-2020;earnings
2020-09-01;Q3-2020;earnings
2020-06-02;Q2-2020;earnings
2020-03-03;Q1-2020;earnings
