date;quarter;type
2026-05-27;Q2-2026;earnings
2026-03-25;Q1-2026;earnings
2025-11-19;Q4-2025;earnings
2025-08-20;Q3-2025;earnings
2025-05-28;Q2-2025;earnings
2025-03-19;Q1-2025;earnings
2024-11-19;Q4-2024;earnings
2024-08-20;Q3-2024;earnings
2024-05-22;Q2-2024;earnings
2024-03-20;Q1-2024;earnings
2023-11-21;Q4-2023;earnings
2023-08-22;Q3-2023;earnings
2023-05-23;Q2-2023;earnings
2023-03-29;Q1-2023;earnings
2022-11-23;Q4-2022;earnings
2022-09-06;Q3-2022;earnings
2022-06-08;Q2-2022;earnings
2022-03-24;Q1-2022;earnings
2021-11-24;Q4-2021;earnings
2021-08-25;Q3-2021;earnings
2021-05-18;Q2-2021;earnings
2021-03-17;Q1-2021;earnings
2020-11-18;Q4-2020;earnings
2020-08-18;Q3-2020;earnings
2020-06-03;Q2-2020;earnings
