date;quarter;type
2026-07-29;Q3-2026;earnings
2026-04-08;Q2-2026;earnings
2026-01-07;Q1-2026;earnings
2025-10-09;Q4-2025;earnings
2025-07-30;Q3-2025;earnings
2025-04-14;Q2-2025;earnings
2025-01-14;Q1-2025;earnings
2024-10-09;Q4-2024;earnings
2024-08-28;Q3-2024;earnings
2024-04-11;Q2-2024;earnings
2024-01-16;Q1-2024;earnings
2023-10-09;Q4-2023;earnings
2023-07-24;Q3-2023;earnings
2023-04-06;Q2-2023;earnings
2023-01-09;Q1-2023;earnings
2022-10-11;Q4-2022;earnings
2022-08-25;Q3-2022;earnings
2022-05-13;Q2-2022;earnings
