date;quarter;type
2026-05-27;Q2-2026;earnings
2026-03-16;Q1-2026;earnings
2025-11-24;Q4-2025;earnings
2025-08-25;Q3-2025;earnings
2025-05-27;Q2-2025;earnings
2025-03-13;Q1-2025;earnings
2024-11-25;Q4-2024;earnings
2024-08-27;Q3-2024;earnings
2024-06-05;Q2-2024;earnings
2024-03-28;Q1-2024;earnings
2023-12-06;Q4-2023;earnings
2023-09-13;Q3-2023;earnings
2023-06-07;Q2-2023;earnings
2023-03-29;Q1-2023;earnings
2022-11-30;Q4-2022;earnings
2022-08-31;Q3-2022;earnings
2022-06-01;Q2-2022;earnings
2022-03-16;Q1-2022;earnings
2021-12-01;Q4-2021;earnings
2021-09-01;Q3-2021;earnings
2021-06-02;Q2-2021;earnings
2021-03-17;Q1-2021;earnings
2020-12-02;Q4-2020;earnings
2020-08-26;Q3-2020;earnings
2020-05-27;Q2-2020;earnings
2020-03-11;Q1-2020;earnings
