date;quarter;type
2026-05-07;Q2-2026;earnings
2026-02-05;Q1-2026;earnings
2025-11-25;Q4-2025;earnings
2025-08-07;Q3-2025;earnings
2025-05-08;Q2-2025;earnings
2025-02-06;Q1-2025;earnings
2024-12-02;Q4-2024;earnings
2024-08-09;Q3-2024;earnings
2024-05-09;Q2-2024;earnings
2024-02-08;Q1-2024;earnings
2023-11-30;Q4-2023;earnings
2023-08-09;Q3-2023;earnings
2023-05-10;Q2-2023;earnings
2023-02-09;Q1-2023;earnings
2022-12-15;Q4-2022;earnings
2022-08-09;Q3-2022;earnings
2022-05-10;Q2-2022;earnings
2022-02-09;Q1-2022;earnings
2021-12-14;Q4-2021;earnings
2021-08-16;Q3-2021;earnings
2021-05-06;Q2-2021;earnings
2021-02-12;Q1-2021;earnings
2020-12-17;Q4-2020;earnings
2020-08-04;Q3-2020;earnings
2020-05-11;Q2-2020;earnings
2020-02-10;Q1-2020;earnings
