date;quarter;type
2026-04-27;Q2-2026;earnings
2026-01-28;Q1-2026;earnings
2025-10-22;Q4-2025;earnings
2025-07-29;Q3-2025;earnings
2025-04-29;Q2-2025;earnings
2025-01-28;Q1-2025;earnings
2024-10-23;Q4-2024;earnings
2024-07-30;Q3-2024;earnings
2024-04-30;Q2-2024;earnings
2024-01-30;Q1-2024;earnings
2023-10-25;Q4-2023;earnings
2023-07-26;Q3-2023;earnings
2023-04-26;Q2-2023;earnings
2023-01-25;Q1-2023;earnings
2022-10-26;Q4-2022;earnings
2022-07-27;Q3-2022;earnings
2022-04-27;Q2-2022;earnings
2022-01-26;Q1-2022;earnings
2021-10-27;Q4-2021;earnings
2021-07-28;Q3-2021;earnings
2021-04-28;Q2-2021;earnings
2021-03-10;Q1-2021;earnings
2020-11-04;Q4-2020;earnings
2020-08-04;Q3-2020;earnings
2020-05-05;Q2-2020;earnings
2020-02-18;Q1-2020;earnings
