date;quarter;type
2026-06-24;Q2-2026;earnings
2026-03-27;Q1-2026;earnings
2025-12-19;Q4-2025;earnings
2025-09-29;Q3-2025;earnings
2025-06-24;Q2-2025;earnings
2025-03-21;Q1-2025;earnings
2024-12-20;Q4-2024;earnings
2024-09-30;Q3-2024;earnings
2024-06-25;Q2-2024;earnings
2024-03-27;Q1-2024;earnings
2023-12-21;Q4-2023;earnings
2023-09-29;Q3-2023;earnings
2023-06-26;Q2-2023;earnings
2023-03-27;Q1-2023;earnings
2022-12-21;Q4-2022;earnings
2022-09-30;Q3-2022;earnings
2022-06-24;Q2-2022;earnings
2022-03-22;Q1-2022;earnings
2021-12-20;Q4-2021;earnings
2021-09-30;Q3-2021;earnings
2021-06-28;Q2-2021;earnings
2021-04-07;Q2-2021;earnings
2021-01-26;Q1-2021;earnings
2020-10-08;Q4-2020;earnings
2020-06-18;Q2-2020;earnings
2020-03-20;Q1-2020;earnings
