date;quarter;type
2026-04-29;Q2-2026;earnings
2026-01-30;Q1-2026;earnings
2025-10-28;Q4-2025;earnings
2025-07-29;Q3-2025;earnings
2025-04-29;Q2-2025;earnings
2025-01-27;Q1-2025;earnings
2024-10-29;Q4-2024;earnings
2024-07-30;Q3-2024;earnings
2024-04-29;Q2-2024;earnings
2024-01-29;Q1-2024;earnings
2023-10-30;Q4-2023;earnings
2023-07-31;Q3-2023;earnings
2023-05-01;Q2-2023;earnings
2023-01-30;Q1-2023;earnings
2022-11-01;Q4-2022;earnings
2022-08-02;Q3-2022;earnings
2022-05-10;Q2-2022;earnings
2022-03-01;Q1-2022;earnings
2021-11-10;Q4-2021;earnings
2021-08-12;Q3-2021;earnings
