date;quarter;type
2026-05-28;Q2-2026;earnings
2026-03-05;Q1-2026;earnings
2025-11-20;Q4-2025;earnings
2025-08-28;Q3-2025;earnings
2025-05-29;Q2-2025;earnings
2025-03-06;Q1-2025;earnings
2024-11-21;Q4-2024;earnings
2024-08-29;Q3-2024;earnings
2024-05-30;Q2-2024;earnings
2024-03-07;Q1-2024;earnings
2023-11-16;Q4-2023;earnings
2023-08-24;Q3-2023;earnings
2023-05-25;Q2-2023;earnings
2023-03-09;Q1-2023;earnings
2022-11-17;Q4-2022;earnings
2022-08-25;Q3-2022;earnings
2022-05-26;Q2-2022;earnings
2022-03-03;Q1-2022;earnings
2021-11-23;Q4-2021;earnings
2021-08-26;Q3-2021;earnings
2021-05-27;Q2-2021;earnings
2021-03-04;Q1-2021;earnings
2020-11-24;Q4-2020;earnings
2020-08-27;Q3-2020;earnings
2020-06-04;Q2-2020;earnings
2020-03-12;Q1-2020;earnings
