date;quarter;type
2026-05-06;Q2-2026;earnings
2026-02-18;Q1-2026;earnings
2025-11-04;Q4-2025;earnings
2025-08-11;Q3-2025;earnings
2025-05-12;Q2-2025;earnings
2025-02-27;Q1-2025;earnings
2024-11-06;Q4-2024;earnings
2024-07-31;Q3-2024;earnings
2024-04-30;Q2-2024;earnings
2024-02-07;Q1-2024;earnings
2023-10-31;Q4-2023;earnings
2023-08-08;Q3-2023;earnings
2023-05-04;Q2-2023;earnings
2023-02-07;Q1-2023;earnings
2022-11-03;Q4-2022;earnings
2022-07-28;Q3-2022;earnings
2022-05-09;Q2-2022;earnings
2022-02-10;Q1-2022;earnings
2021-11-03;Q4-2021;earnings
2021-08-04;Q3-2021;earnings
2021-05-10;Q2-2021;earnings
2021-02-01;Q1-2021;earnings
2020-11-05;Q4-2020;earnings
2020-08-10;Q3-2020;earnings
2020-05-11;Q2-2020;earnings
2020-02-06;Q1-2020;earnings
