date;quarter;type
2026-04-30;Q2-2026;earnings
2026-03-02;Q1-2026;earnings
2025-11-10;Q4-2025;earnings
2025-08-11;Q3-2025;earnings
2025-05-01;Q2-2025;earnings
2025-03-06;Q1-2025;earnings
2024-11-05;Q4-2024;earnings
2024-08-01;Q3-2024;earnings
2024-05-02;Q2-2024;earnings
2024-03-07;Q1-2024;earnings
2023-11-07;Q4-2023;earnings
2023-08-08;Q3-2023;earnings
2023-05-09;Q2-2023;earnings
2023-03-13;Q1-2023;earnings
2022-11-09;Q4-2022;earnings
2022-08-09;Q3-2022;earnings
2022-05-09;Q2-2022;earnings
2022-03-17;Q1-2022;earnings
