date;quarter;type
2026-06-01;Q2-2026;earnings
2026-03-02;Q1-2026;earnings
2025-12-01;Q4-2025;earnings
2025-09-03;Q3-2025;earnings
2025-06-02;Q2-2025;earnings
2025-03-04;Q1-2025;earnings
2024-12-02;Q4-2024;earnings
2024-09-04;Q3-2024;earnings
2024-05-29;Q2-2024;earnings
2024-02-27;Q1-2024;earnings
2023-11-29;Q4-2023;earnings
2023-08-24;Q3-2023;earnings
2023-05-31;Q2-2023;earnings
2023-03-01;Q1-2023;earnings
2022-11-30;Q4-2022;earnings
2022-08-31;Q3-2022;earnings
2022-06-01;Q2-2022;earnings
2022-03-09;Q1-2022;earnings
