date;quarter;type
2026-04-21;Q2-2026;earnings
2026-03-02;Q1-2026;earnings
2025-10-29;Q4-2025;earnings
2025-08-01;Q3-2025;earnings
2025-04-30;Q2-2025;earnings
2025-03-03;Q1-2025;earnings
2024-10-30;Q4-2024;earnings
2024-07-31;Q3-2024;earnings
2024-05-01;Q2-2024;earnings
2024-02-28;Q1-2024;earnings
2023-10-24;Q4-2023;earnings
2023-08-04;Q3-2023;earnings
2023-05-03;Q2-2023;earnings
2023-02-28;Q1-2023;earnings
2022-11-03;Q4-2022;earnings
2022-08-03;Q3-2022;earnings
2022-05-05;Q2-2022;earnings
2022-03-01;Q1-2022;earnings
2021-11-03;Q4-2021;earnings
2021-07-30;Q3-2021;earnings
2021-05-03;Q2-2021;earnings
2021-03-01;Q1-2021;earnings
2020-10-30;Q4-2020;earnings
2020-07-23;Q3-2020;earnings
2020-05-04;Q2-2020;earnings
2020-02-25;Q1-2020;earnings
