date;quarter;type
2026-04-30;Q2-2026;earnings
2026-02-19;Q1-2026;earnings
2025-11-05;Q4-2025;earnings
2025-08-04;Q3-2025;earnings
2025-05-02;Q2-2025;earnings
2025-02-28;Q1-2025;earnings
2024-11-06;Q4-2024;earnings
2024-08-13;Q3-2024;earnings
2024-05-13;Q2-2024;earnings
2024-03-05;Q1-2024;earnings
2023-11-07;Q4-2023;earnings
2023-08-09;Q3-2023;earnings
2023-05-11;Q2-2023;earnings
2023-02-07;Q1-2023;earnings
2022-11-09;Q4-2022;earnings
2022-08-08;Q3-2022;earnings
2022-05-09;Q2-2022;earnings
2022-02-28;Q1-2022;earnings
2021-11-03;Q4-2021;earnings
2021-08-16;Q3-2021;earnings
2021-05-11;Q2-2021;earnings
2021-03-17;Q1-2021;earnings
2020-11-23;Q4-2020;earnings
