date;quarter;type
2026-04-28;Q2-2026;earnings
2026-02-10;Q1-2026;earnings
2025-11-05;Q4-2025;earnings
2025-07-30;Q3-2025;earnings
2025-04-30;Q2-2025;earnings
2025-02-12;Q1-2025;earnings
2024-10-30;Q4-2024;earnings
2024-08-07;Q3-2024;earnings
2024-05-08;Q2-2024;earnings
2024-02-13;Q1-2024;earnings
2023-11-07;Q4-2023;earnings
2023-08-02;Q3-2023;earnings
2023-05-10;Q2-2023;earnings
2023-02-08;Q1-2023;earnings
2022-11-02;Q4-2022;earnings
2022-08-02;Q3-2022;earnings
2022-04-28;Q2-2022;earnings
2022-01-27;Q1-2022;earnings
2021-10-26;Q4-2021;earnings
2021-08-18;Q3-2021;earnings
