date;quarter;type
2026-05-07;Q2-2026;earnings
2026-02-26;Q1-2026;earnings
2025-11-04;Q4-2025;earnings
2025-08-07;Q3-2025;earnings
2025-05-12;Q2-2025;earnings
2025-02-13;Q1-2025;earnings
2024-11-12;Q4-2024;earnings
2024-08-01;Q3-2024;earnings
2024-04-25;Q2-2024;earnings
2024-02-06;Q1-2024;earnings
2023-10-26;Q4-2023;earnings
2023-07-27;Q3-2023;earnings
2023-04-27;Q2-2023;earnings
2023-02-07;Q1-2023;earnings
2022-10-27;Q4-2022;earnings
2022-07-28;Q3-2022;earnings
2022-04-27;Q2-2022;earnings
2022-02-23;Q1-2022;earnings
2021-10-28;Q4-2021;earnings
2021-08-09;Q3-2021;earnings
