date;quarter;type
2026-05-12;Q2-2026;earnings
2026-03-03;Q1-2026;earnings
2025-11-06;Q4-2025;earnings
2025-08-06;Q3-2025;earnings
2025-05-12;Q2-2025;earnings
2025-03-19;Q1-2025;earnings
2024-11-13;Q4-2024;earnings
2024-08-12;Q3-2024;earnings
2024-05-14;Q2-2024;earnings
2024-03-28;Q1-2024;earnings
2023-11-09;Q4-2023;earnings
2023-08-09;Q3-2023;earnings
2023-05-05;Q2-2023;earnings
2023-03-16;Q1-2023;earnings
2022-11-14;Q4-2022;earnings
2022-08-05;Q3-2022;earnings
2022-05-12;Q2-2022;earnings
2022-03-28;Q1-2022;earnings
2021-11-15;Q4-2021;earnings
2021-08-16;Q3-2021;earnings
2021-05-12;Q2-2021;earnings
2021-03-25;Q1-2021;earnings
2020-11-16;Q4-2020;earnings
