time;open;high;low;close;Volume
2023-03-28;2.71;2.76;2.575;2.65;264700
2023-03-27;2.77;2.84;2.66;2.73;264900
2023-03-24;2.93;2.95;2.65;2.77;405500
2023-03-23;2.98;3.12;2.94;2.97;468200
2023-03-22;3.01;3.04;2.86;2.87;219300
2023-03-21;3.05;3.05;2.83;3.01;343200
2023-03-20;3.09;3.17;2.98;3.0;269400
2023-03-17;3.16;3.3;3.05;3.08;283200
2023-03-16;3.23;3.31;3.16;3.21;245700
2023-03-15;3.4;3.481;3.2;3.29;236800
2023-03-14;3.47;3.56;3.39;3.55;205200
2023-03-13;3.25;3.55;3.172;3.38;315800
2023-03-10;3.63;3.63;3.33;3.34;349600
2023-03-09;3.95;4.056;3.65;3.66;260900
2023-03-08;3.78;3.99;3.74;3.94;302700
2023-03-07;3.71;4.09;3.642;3.77;375100
2023-03-06;3.7;3.85;3.683;3.77;172500
2023-03-03;3.77;3.88;3.67;3.71;167800
2023-03-02;3.59;3.82;3.5;3.76;170600
2023-03-01;3.9;3.978;3.53;3.6;349200
2023-02-28;3.9;3.97;3.65;3.88;260100
2023-02-27;3.48;3.95;3.48;3.89;419700
2023-02-24;3.73;3.78;3.41;3.46;645700
2023-02-23;4.04;4.043;3.62;3.81;442000
2023-02-22;3.92;4.24;3.78;3.9;1172300
2023-02-21;4.12;4.58;3.78;3.92;1437000
2023-02-17;3.96;4.17;3.82;3.95;2317000
2023-02-16;3.99;4.22;3.51;3.87;5293100
2023-02-15;2.53;4.1;2.51;3.78;17499700
2023-02-14;2.6;2.684;2.48;2.54;83500
2023-02-13;2.6;2.65;2.51;2.64;56500
2023-02-10;2.56;2.6;2.46;2.59;76100
2023-02-09;2.79;2.82;2.52;2.53;130800
2023-02-08;2.53;2.74;2.5;2.7;71500
2023-02-07;2.5;2.655;2.45;2.54;258100
2023-02-06;2.72;2.72;2.54;2.56;88000
2023-02-03;2.61;2.83;2.61;2.69;138600
2023-02-02;2.67;2.74;2.581;2.65;83700
2023-02-01;2.56;2.65;2.5;2.6;86500
2023-01-31;2.51;2.63;2.51;2.56;77500
2023-01-30;2.65;2.75;2.49;2.5;102100
2023-01-27;2.37;2.72;2.37;2.63;154100
2023-01-26;2.44;2.508;2.325;2.39;72800
2023-01-25;2.43;2.44;2.33;2.42;67300
2023-01-24;2.44;2.52;2.44;2.45;49800
2023-01-23;2.58;2.644;2.47;2.49;82800
2023-01-20;2.53;2.6;2.46;2.59;67700
2023-01-19;2.47;2.51;2.43;2.47;71900
2023-01-18;2.72;2.791;2.453;2.48;93500
2023-01-17;2.67;2.75;2.59;2.7;105800
2023-01-13;2.76;2.97;2.61;2.65;331500
2023-01-12;2.26;2.78;2.26;2.71;530900
2023-01-11;2.16;2.29;2.12;2.26;120000
2023-01-10;2.08;2.198;2.05;2.12;60900
2023-01-09;2.12;2.16;2.08;2.1;53900
2023-01-06;2.13;2.18;2.06;2.09;77200
2023-01-05;2.15;2.18;2.06;2.13;67100
2023-01-04;2.15;2.2;2.02;2.18;116500
2023-01-03;2.0;2.14;1.92;2.13;190900
2022-12-30;1.78;2.04;1.76;1.98;275100
2022-12-29;1.8;1.84;1.7;1.84;156400
2022-12-28;1.8;1.84;1.67;1.68;239400
2022-12-27;1.92;1.92;1.8;1.81;179300
2022-12-23;1.99;1.99;1.91;1.92;124700
2022-12-22;2.0;2.0;1.947;1.96;75300
2022-12-21;1.96;2.02;1.94;1.99;85200
2022-12-20;1.99;2.036;1.935;1.95;84800
2022-12-19;2.08;2.1;1.952;2.0;167500
2022-12-16;2.04;2.1;1.98;2.08;282200
2022-12-15;1.93;2.05;1.93;2.05;121200
2022-12-14;2.05;2.17;1.95;1.96;130200
2022-12-13;2.13;2.13;1.98;2.02;139100
2022-12-12;2.1;2.11;1.98;2.02;99000
2022-12-09;1.99;2.12;1.98;2.05;117700
2022-12-08;2.01;2.04;1.95;2.0;84000
2022-12-07;1.99;2.04;1.94;1.97;201300
2022-12-06;2.06;2.1;1.85;1.98;174000
2022-12-05;2.03;2.039;2.01;2.01;117500
2022-12-02;2.02;2.06;2.0;2.04;99500
2022-12-01;2.12;2.12;2.0;2.03;126500
2022-11-30;2.12;2.14;1.97;2.12;208100
2022-11-29;2.19;2.19;2.08;2.11;116600
2022-11-28;2.2;2.23;2.15;2.16;61300
2022-11-25;2.24;2.28;2.16;2.25;54000
2022-11-23;2.22;2.29;2.15;2.21;82700
2022-11-22;2.27;2.27;2.11;2.22;192600
2022-11-21;2.35;2.39;2.17;2.22;197900
2022-11-18;2.5;2.5;2.3;2.38;94300
2022-11-17;2.53;2.61;2.4;2.43;82400
2022-11-16;2.64;2.64;2.551;2.59;90700
2022-11-15;2.52;2.64;2.52;2.6;104000
2022-11-14;2.38;2.58;2.34;2.5;202100
2022-11-11;2.41;2.5;2.36;2.46;261700
2022-11-10;2.38;2.43;2.32;2.4;185100
2022-11-09;2.59;2.72;2.265;2.28;445500
2022-11-08;2.86;2.9;2.617;2.62;111200
2022-11-07;2.7;2.83;2.67;2.81;95500
2022-11-04;2.76;2.78;2.6;2.65;73300
2022-11-03;2.62;2.78;2.61;2.65;51100
2022-11-02;2.71;2.94;2.63;2.66;152400
2022-11-01;2.81;2.82;2.61;2.69;117000
2022-10-31;2.61;2.81;2.55;2.74;155400
2022-10-28;2.4;2.65;2.35;2.61;153300
2022-10-27;2.32;2.455;2.31;2.38;98000
2022-10-26;2.45;2.45;2.3;2.32;74600
2022-10-25;2.25;2.43;2.25;2.39;84200
2022-10-24;2.3;2.32;2.18;2.24;93500
2022-10-21;2.33;2.333;2.15;2.28;138600
2022-10-20;2.42;2.42;2.26;2.29;261000
2022-10-19;2.38;2.39;2.32;2.38;70500
2022-10-18;2.54;2.615;2.39;2.41;95300
2022-10-17;2.5;2.58;2.469;2.51;113700
2022-10-14;2.48;2.54;2.375;2.4;47000
2022-10-13;2.45;2.62;2.43;2.49;111800
2022-10-12;2.62;2.63;2.44;2.48;96800
2022-10-11;2.76;2.77;2.6;2.63;77600
2022-10-10;2.68;2.78;2.61;2.76;66700
2022-10-07;2.78;2.81;2.62;2.67;94500
2022-10-06;2.8;2.95;2.73;2.81;120400
2022-10-05;2.76;2.78;2.649;2.76;117100
2022-10-04;2.5;2.83;2.5;2.82;236600
2022-10-03;2.45;2.55;2.32;2.49;711800
2022-09-30;2.31;2.5;2.31;2.38;59600
2022-09-29;2.47;2.47;2.29;2.34;237400
2022-09-28;2.51;2.58;2.47;2.5;128700
2022-09-27;2.51;2.62;2.445;2.5;131900
2022-09-26;2.35;2.58;2.35;2.52;138200
2022-09-23;2.6;2.637;2.34;2.4;410000
2022-09-22;2.7;2.7;2.61;2.64;95500
2022-09-21;2.71;2.769;2.65;2.68;117900
2022-09-20;2.73;2.75;2.61;2.68;275300
2022-09-19;2.71;2.8;2.69;2.77;97800
2022-09-16;2.91;2.914;2.65;2.67;413900
2022-09-15;3.0;3.1;2.95;2.98;109900
2022-09-14;3.01;3.07;2.81;3.01;153800
2022-09-13;3.19;3.19;2.93;2.99;240200
2022-09-12;3.14;3.23;3.03;3.2;159200
2022-09-09;3.01;3.16;3.0;3.1;275800
2022-09-08;2.84;3.04;2.8;3.01;143700
2022-09-07;2.68;2.89;2.68;2.86;132300
2022-09-06;2.85;2.9;2.65;2.72;135700
2022-09-02;2.79;2.969;2.701;2.84;224800
2022-09-01;2.77;2.85;2.69;2.79;185200
2022-08-31;2.78;2.829;2.76;2.76;58900
2022-08-30;2.76;2.83;2.72;2.79;160600
2022-08-29;2.88;2.96;2.69;2.75;245300
2022-08-26;2.99;2.99;2.79;2.91;171400
2022-08-25;2.96;3.0;2.86;2.97;103900
2022-08-24;2.91;2.98;2.84;2.94;111700
2022-08-23;2.8;2.98;2.8;2.94;131600
2022-08-22;2.87;2.9;2.72;2.8;281800
2022-08-19;2.98;2.98;2.8;2.92;274500
2022-08-18;3.22;3.28;3.0;3.01;252000
2022-08-17;3.39;3.48;3.16;3.18;131000
2022-08-16;3.58;3.67;3.43;3.46;191200
2022-08-15;3.91;3.98;3.55;3.58;222900
2022-08-12;3.9;3.96;3.7;3.95;145000
2022-08-11;3.38;3.98;3.33;3.86;355400
2022-08-10;3.48;3.58;3.08;3.43;236300
2022-08-09;3.33;3.36;3.19;3.31;64700
2022-08-08;3.39;3.591;3.32;3.36;113600
2022-08-05;3.5;3.58;3.35;3.44;134300
2022-08-04;3.52;3.57;3.44;3.53;84700
2022-08-03;3.45;3.63;3.4;3.5;120500
2022-08-02;3.38;3.64;3.355;3.5;91200
2022-08-01;3.32;3.4;3.21;3.4;118600
2022-07-29;3.43;3.43;3.21;3.3;103800
2022-07-28;3.41;3.47;3.17;3.36;114500
2022-07-27;3.18;3.4;3.15;3.33;103900
2022-07-26;3.18;3.3;3.09;3.15;112500
2022-07-25;3.24;3.33;3.205;3.25;123300
2022-07-22;3.59;3.6;3.2;3.28;136300
2022-07-21;3.61;3.61;3.45;3.56;96700
2022-07-20;3.27;3.56;3.27;3.56;105500
2022-07-19;3.32;3.56;3.24;3.3;157600
2022-07-18;3.33;3.72;3.26;3.3;146200
2022-07-15;3.19;3.25;3.09;3.25;104700
2022-07-14;3.19;3.21;3.05;3.15;143800
2022-07-13;3.13;3.27;3.12;3.19;84300
2022-07-12;3.18;3.32;3.11;3.21;131500
2022-07-11;3.29;3.35;3.13;3.16;95200
2022-07-08;3.29;3.428;3.28;3.33;100600
2022-07-07;3.18;3.33;3.18;3.31;171100
2022-07-06;3.28;3.39;3.12;3.12;131100
2022-07-05;3.12;3.34;2.95;3.34;222300
2022-07-01;3.05;3.145;2.98;3.13;95000
2022-06-30;2.91;3.067;2.78;3.04;214100
2022-06-29;3.0;3.03;2.82;2.93;353900
2022-06-28;3.17;3.26;3.0;3.01;210100
2022-06-27;3.19;3.28;2.99;3.16;296100
2022-06-24;3.33;3.452;3.16;3.17;2368200
2022-06-23;3.54;3.62;3.27;3.32;416800
2022-06-22;3.53;3.68;3.46;3.54;309000
2022-06-21;3.91;3.97;3.6;3.68;428600
2022-06-17;3.83;3.98;3.79;3.9;314500
2022-06-16;3.66;3.81;3.515;3.81;338400
2022-06-15;3.68;3.82;3.6;3.79;233700
2022-06-14;3.62;3.63;3.44;3.52;199200
2022-06-13;3.88;3.88;3.555;3.61;301700
2022-06-10;3.95;3.99;3.78;3.84;182500
2022-06-09;4.19;4.22;3.94;4.01;291500
2022-06-08;4.31;4.405;4.17;4.22;194400
2022-06-07;4.29;4.35;3.98;4.31;344800
2022-06-06;4.64;4.69;4.18;4.3;248700
2022-06-03;4.4;4.54;4.17;4.54;197400
2022-06-02;4.26;4.63;4.26;4.46;240300
2022-06-01;4.42;4.6;4.245;4.31;255600
2022-05-31;4.16;4.37;4.06;4.36;263300
2022-05-27;4.03;4.24;3.96;4.15;307300
2022-05-26;3.76;4.04;3.76;4.02;205800
2022-05-25;3.5;3.87;3.5;3.8;212000
2022-05-24;3.71;3.725;3.36;3.56;270400
2022-05-23;4.13;4.13;3.7;3.75;464400
2022-05-20;4.06;4.09;3.75;4.01;639500
2022-05-19;4.04;4.45;3.97;3.99;424600
2022-05-18;4.24;4.29;3.97;4.12;322900
2022-05-17;3.84;4.34;3.84;4.26;359500
2022-05-16;3.78;4.04;3.7;3.76;298900
2022-05-13;3.95;4.035;3.76;3.76;609100
2022-05-12;3.81;4.12;3.65;3.7;654400
2022-05-11;4.88;4.88;3.9;3.93;790000
2022-05-10;5.66;5.72;4.8;4.99;462800
2022-05-09;5.94;6.02;5.45;5.51;289500
2022-05-06;6.19;6.215;5.84;6.09;337600
2022-05-05;6.45;6.45;6.07;6.24;132200
2022-05-04;6.49;6.55;6.18;6.52;217900
2022-05-03;6.44;6.52;6.18;6.45;222700
2022-05-02;5.92;6.42;5.91;6.36;278100
2022-04-29;6.12;6.39;5.96;6.02;332200
2022-04-28;5.83;6.2;5.66;6.16;301400
2022-04-27;5.61;5.88;5.61;5.73;212600
2022-04-26;6.09;6.17;5.67;5.69;407100
2022-04-25;6.11;6.47;6.05;6.17;287500
2022-04-22;6.02;6.37;6.02;6.29;211100
2022-04-21;6.42;6.62;6.0;6.11;290100
2022-04-20;6.24;6.49;6.14;6.4;233500
2022-04-19;5.73;6.3;5.73;6.2;252900
2022-04-18;5.8;6.0;5.65;5.76;300200
2022-04-14;6.13;6.29;5.88;5.92;237700
2022-04-13;6.03;6.23;6.03;6.18;184500
2022-04-12;6.27;6.55;5.99;6.03;294300
2022-04-11;6.25;6.53;6.11;6.16;256300
