date;quarter;type
2026-05-27;Q2-2026;earnings
2026-02-25;Q1-2026;earnings
2025-12-03;Q4-2025;earnings
2025-09-03;Q3-2025;earnings
2025-05-28;Q2-2025;earnings
2025-02-26;Q1-2025;earnings
2024-12-09;Q4-2024;earnings
2024-09-04;Q3-2024;earnings
2024-05-29;Q2-2024;earnings
2024-02-28;Q1-2024;earnings
2023-12-06;Q4-2023;earnings
2023-09-05;Q3-2023;earnings
2023-05-31;Q2-2023;earnings
2023-03-02;Q1-2023;earnings
2022-12-07;Q4-2022;earnings
2022-08-31;Q3-2022;earnings
2022-06-01;Q2-2022;earnings
2022-03-02;Q1-2022;earnings
2021-12-01;Q4-2021;earnings
2021-09-01;Q3-2021;earnings
2021-06-02;Q2-2021;earnings
2021-03-01;Q1-2021;earnings
