date;quarter;type
2026-05-27;Q2-2026;earnings
2026-02-04;Q1-2026;earnings
2025-11-05;Q4-2025;earnings
2025-07-30;Q3-2025;earnings
2025-05-21;Q2-2025;earnings
2025-02-05;Q1-2025;earnings
2024-10-30;Q4-2024;earnings
2024-08-06;Q3-2024;earnings
2024-05-29;Q2-2024;earnings
2024-01-24;Q1-2024;earnings
2023-11-01;Q4-2023;earnings
2023-08-09;Q3-2023;earnings
2023-05-31;Q2-2023;earnings
2023-02-01;Q1-2023;earnings
2022-11-01;Q4-2022;earnings
2022-08-03;Q3-2022;earnings
2022-06-01;Q2-2022;earnings
2022-02-02;Q1-2022;earnings
2021-11-08;Q4-2021;earnings
2021-08-04;Q3-2021;earnings
2021-06-02;Q2-2021;earnings
2021-02-03;Q1-2021;earnings
2020-11-04;Q4-2020;earnings
2020-08-05;Q3-2020;earnings
2020-06-02;Q2-2020;earnings
2020-02-05;Q1-2020;earnings
