date;quarter;type
2026-05-06;Q2-2026;earnings
2026-02-04;Q1-2026;earnings
2025-11-24;Q4-2025;earnings
2025-08-11;Q3-2025;earnings
2025-05-07;Q2-2025;earnings
2025-02-10;Q1-2025;earnings
2024-11-25;Q4-2024;earnings
2024-08-07;Q3-2024;earnings
2024-05-08;Q2-2024;earnings
2024-02-07;Q1-2024;earnings
2023-11-28;Q4-2023;earnings
2023-08-10;Q3-2023;earnings
2023-05-10;Q2-2023;earnings
2023-02-08;Q1-2023;earnings
2022-12-12;Q4-2022;earnings
2022-08-15;Q3-2022;earnings
2022-05-11;Q2-2022;earnings
2022-02-09;Q1-2022;earnings
2021-12-08;Q4-2021;earnings
