date;quarter;type
2026-05-06;Q2-2026;earnings
2026-02-11;Q1-2026;earnings
2025-10-28;Q4-2025;earnings
2025-07-30;Q3-2025;earnings
2025-05-08;Q2-2025;earnings
2025-02-12;Q1-2025;earnings
2024-10-30;Q4-2024;earnings
2024-07-31;Q3-2024;earnings
2024-05-08;Q2-2024;earnings
2024-02-14;Q1-2024;earnings
2023-11-01;Q4-2023;earnings
2023-08-02;Q3-2023;earnings
2023-05-04;Q2-2023;earnings
2023-02-21;Q1-2023;earnings
2022-11-03;Q4-2022;earnings
2022-08-12;Q3-2022;earnings
2022-05-12;Q2-2022;earnings
2022-02-16;Q1-2022;earnings
