date;quarter;type
2026-02-04;Q1-2026;earnings
2025-10-29;Q4-2025;earnings
2025-07-23;Q3-2025;earnings
2025-04-24;Q2-2025;earnings
2025-02-04;Q1-2025;earnings
2024-10-29;Q4-2024;earnings
2024-07-23;Q3-2024;earnings
2024-04-25;Q2-2024;earnings
2024-01-30;Q1-2024;earnings
2023-10-24;Q4-2023;earnings
2023-07-25;Q3-2023;earnings
2023-04-25;Q2-2023;earnings
2023-02-02;Q1-2023;earnings
2022-10-25;Q4-2022;earnings
2022-07-26;Q3-2022;earnings
2022-04-26;Q2-2022;earnings
2022-02-01;Q1-2022;earnings
2021-10-26;Q4-2021;earnings
2021-07-27;Q3-2021;earnings
2021-04-27;Q2-2021;earnings
2021-02-02;Q1-2021;earnings
