date;quarter;type
2026-04-30;Q2-2026;earnings
2026-02-10;Q1-2026;earnings
2025-10-30;Q4-2025;earnings
2025-07-25;Q3-2025;earnings
2025-04-25;Q2-2025;earnings
2025-02-03;Q1-2025;earnings
2024-10-25;Q4-2024;earnings
2024-07-26;Q3-2024;earnings
2024-04-26;Q2-2024;earnings
2024-02-02;Q1-2024;earnings
2023-10-27;Q4-2023;earnings
2023-07-28;Q3-2023;earnings
2023-04-28;Q2-2023;earnings
2023-02-03;Q1-2023;earnings
2022-10-31;Q4-2022;earnings
2022-07-27;Q3-2022;earnings
2022-05-02;Q2-2022;earnings
2022-02-02;Q1-2022;earnings
2021-10-28;Q4-2021;earnings
2021-07-29;Q3-2021;earnings
2021-04-28;Q2-2021;earnings
2021-02-08;Q1-2021;earnings
2020-10-29;Q4-2020;earnings
2020-07-29;Q3-2020;earnings
2020-04-29;Q2-2020;earnings
2020-02-03;Q1-2020;earnings
