date;quarter;type
2026-05-05;Q2-2026;earnings
2026-02-03;Q1-2026;earnings
2025-11-17;Q4-2025;earnings
2025-07-29;Q3-2025;earnings
2025-04-28;Q2-2025;earnings
2025-01-31;Q1-2025;earnings
2024-11-06;Q4-2024;earnings
2020-11-09;Q4-2020;earnings
2020-08-19;Q3-2020;earnings
2020-05-30;Q2-2020;earnings
2020-03-05;Q1-2020;earnings
