date;quarter;type
2026-04-30;Q2-2026;earnings
2026-02-12;Q1-2026;earnings
2025-10-30;Q4-2025;earnings
2025-07-31;Q3-2025;earnings
2025-05-01;Q2-2025;earnings
2025-02-13;Q1-2025;earnings
2024-10-30;Q4-2024;earnings
2024-08-01;Q3-2024;earnings
2024-04-26;Q2-2024;earnings
2024-02-15;Q1-2024;earnings
2023-11-01;Q4-2023;earnings
2023-07-27;Q3-2023;earnings
2023-04-26;Q2-2023;earnings
2023-02-15;Q1-2023;earnings
2022-11-02;Q4-2022;earnings
2022-07-28;Q3-2022;earnings
2022-04-28;Q2-2022;earnings
2022-02-17;Q1-2022;earnings
2021-11-03;Q4-2021;earnings
2021-08-04;Q3-2021;earnings
2021-05-06;Q2-2021;earnings
2021-02-18;Q1-2021;earnings
2020-11-05;Q4-2020;earnings
2020-08-05;Q3-2020;earnings
2020-05-07;Q2-2020;earnings
2020-02-13;Q1-2020;earnings
