date;quarter;type
2026-07-14;Q3-2026;earnings
2026-04-07;Q2-2026;earnings
2026-01-08;Q1-2026;earnings
2025-10-06;Q4-2025;earnings
2025-07-08;Q3-2025;earnings
2025-04-08;Q2-2025;earnings
2025-01-13;Q1-2025;earnings
2024-10-10;Q4-2024;earnings
2024-07-16;Q3-2024;earnings
2024-04-09;Q2-2024;earnings
2024-01-09;Q1-2024;earnings
2023-10-05;Q4-2023;earnings
2023-07-13;Q3-2023;earnings
2023-03-30;Q1-2023;earnings
2023-01-05;Q1-2023;earnings
2022-10-06;Q4-2022;earnings
2022-07-19;Q3-2022;earnings
2022-03-31;Q1-2022;earnings
2022-01-06;Q1-2022;earnings
2021-09-23;Q3-2021;earnings
2021-07-15;Q3-2021;earnings
2021-04-08;Q2-2021;earnings
2021-01-07;Q1-2021;earnings
2020-09-24;Q3-2020;earnings
2020-07-16;Q3-2020;earnings
2020-04-02;Q2-2020;earnings
2020-01-09;Q1-2020;earnings
