date;quarter;type
2026-05-04;Q2-2026;earnings
2026-02-02;Q1-2026;earnings
2025-11-14;Q4-2025;earnings
2025-08-04;Q3-2025;earnings
2025-05-05;Q2-2025;earnings
2025-02-03;Q1-2025;earnings
2024-11-18;Q4-2024;earnings
2024-08-02;Q3-2024;earnings
2024-05-02;Q2-2024;earnings
2024-02-02;Q1-2024;earnings
2023-11-17;Q4-2023;earnings
2023-08-04;Q3-2023;earnings
2023-05-05;Q2-2023;earnings
2023-02-03;Q1-2023;earnings
2022-11-18;Q4-2022;earnings
2022-08-05;Q3-2022;earnings
2022-05-05;Q2-2022;earnings
2022-02-04;Q1-2022;earnings
2021-11-22;Q4-2021;earnings
2021-08-06;Q3-2021;earnings
2021-05-06;Q2-2021;earnings
2021-02-04;Q1-2021;earnings
2020-11-23;Q4-2020;earnings
2020-08-06;Q3-2020;earnings
2020-05-07;Q2-2020;earnings
2020-02-06;Q1-2020;earnings
