date;quarter;type
2026-05-07;Q2-2026;earnings
2026-02-26;Q1-2026;earnings
2025-11-06;Q4-2025;earnings
2025-07-31;Q3-2025;earnings
2025-05-08;Q2-2025;earnings
2025-03-06;Q1-2025;earnings
2024-11-07;Q4-2024;earnings
2024-08-13;Q3-2024;earnings
2024-05-08;Q2-2024;earnings
2024-02-28;Q1-2024;earnings
2023-11-02;Q4-2023;earnings
2023-08-03;Q3-2023;earnings
2023-05-04;Q2-2023;earnings
2023-03-09;Q1-2023;earnings
2022-11-10;Q4-2022;earnings
2022-08-11;Q3-2022;earnings
2022-05-16;Q2-2022;earnings
2022-03-28;Q1-2022;earnings
2021-11-12;Q4-2021;earnings
2021-08-12;Q3-2021;earnings
2020-11-12;Q4-2020;earnings
