date;quarter;type
2026-05-11;Q2-2026;earnings
2026-03-02;Q1-2026;earnings
2025-11-14;Q4-2025;earnings
2025-08-14;Q3-2025;earnings
2025-05-15;Q2-2025;earnings
2025-03-20;Q1-2025;earnings
2024-11-06;Q4-2024;earnings
2024-10-02;Q4-2024;earnings
2024-06-11;Q2-2024;earnings
2024-04-01;Q2-2024;earnings
2023-11-13;Q4-2023;earnings
2023-08-14;Q3-2023;earnings
2023-05-12;Q2-2023;earnings
2023-03-30;Q1-2023;earnings
2022-11-14;Q4-2022;earnings
2022-08-15;Q3-2022;earnings
2022-05-23;Q2-2022;earnings
2022-03-15;Q1-2022;earnings
2021-11-05;Q4-2021;earnings
