time;open;high;low;close;Volume;RSI;RSI-based MA
2026-01-26 10:00:00 ;622.6;622.72;621.67;622.49;5224;;
2026-01-26 10:02:00 ;622.39;622.54;622.39;622.54;711;;
2026-01-26 10:03:00 ;622.49;622.55;622.49;622.55;12;;
2026-01-26 10:04:00 ;622.45;622.47;622.45;622.47;104;;
2026-01-26 10:05:00 ;622.47;622.63;622.46;622.63;446;;
2026-01-26 10:06:00 ;622.56;622.59;622.56;622.59;3;;
2026-01-26 10:07:00 ;622.62;622.71;622.59;622.68;469;;
2026-01-26 10:08:00 ;622.72;622.84;622.72;622.79;12614;;
2026-01-26 10:09:00 ;622.79;622.8;622.72;622.72;226;;
2026-01-26 10:10:00 ;622.7;622.71;622.59;622.59;271;;
2026-01-26 10:11:00 ;622.52;622.58;622.52;622.57;821;;
2026-01-26 10:12:00 ;622.52;622.6;622.43;622.43;390;;
2026-01-26 10:13:00 ;622.45;622.45;622.3;622.34;335;;
2026-01-26 10:14:00 ;622.2;622.23;622.09;622.09;997;;
2026-01-26 10:15:00 ;622.14;622.2;622.13;622.16;208;37.40458015266639;
2026-01-26 10:16:00 ;622.14;622.17;622.1;622.17;304;37.914967967379354;
2026-01-26 10:17:00 ;622.13;622.21;622.13;622.21;192;40.02164033758839;
2026-01-26 10:18:00 ;622.24;622.24;622.22;622.22;141;40.56461536938733;
2026-01-26 10:19:00 ;622.24;622.24;622.24;622.24;1;41.70134836053033;
2026-01-26 10:20:00 ;622.21;622.21;622.12;622.15;437;38.164099587178534;
2026-01-26 10:21:00 ;622.13;622.13;621.96;622.03;249;34.020484366782725;
2026-01-26 10:22:00 ;622.06;622.06;621.88;621.88;318;29.68222469247148;
2026-01-26 10:23:00 ;621.95;621.96;621.9;621.96;509;34.48095168782126;
2026-01-26 10:24:00 ;621.89;622.04;621.85;622.01;64;37.35827921803293;
2026-01-26 10:25:00 ;621.95;621.96;621.81;621.81;111;31.415260932314112;
2026-01-26 10:26:00 ;621.85;621.85;621.73;621.73;153;29.400517050304202;
2026-01-26 10:27:00 ;621.84;621.89;621.84;621.89;21;37.968977447397194;
2026-01-26 10:28:00 ;621.8;621.85;621.78;621.8;446;35.36865598590532;36.104757368268544
2026-01-26 10:29:00 ;621.79;621.8;621.73;621.78;231;34.79832282753809;35.918596130759376
2026-01-26 10:30:00 ;621.73;621.74;621.4;621.4;434;26.165132920011942;35.07932219880456
2026-01-26 10:31:00 ;621.39;621.47;621.16;621.16;1266;22.38741698202412;33.81973481626425
2026-01-26 10:32:00 ;621.11;621.11;620.98;620.98;400;20.04937098074359;32.35436021707542
2026-01-26 10:33:00 ;621.14;621.15;620.93;620.93;991;19.441975389946407;30.76440500489085
2026-01-26 10:34:00 ;620.85;621.03;620.81;621.03;591;24.37646817610036;29.77957418981384
2026-01-26 10:35:00 ;620.82;620.89;620.59;620.59;1351;18.89283689363124;28.69902794173159
2026-01-26 10:36:00 ;620.6;620.6;620.5;620.5;175;18.00083724273003;27.864643123892915
2026-01-26 10:37:00 ;620.51;620.65;620.5;620.65;117;24.40678997756403;27.145060144588825
