time;open;high;low;close;Volume;RSI;RSI-based MA;Regular Bullish;Regular Bullish Label;Regular Bearish;Regular Bearish Label
2023-01-03 13:00:00 ;262.90038147;263.26382916;262.3797672;263.06737095;10252;;;;;;
2023-01-03 13:30:00 ;263.07719386;263.62727686;263.04772513;263.22453752;4170;;;;;;
2023-01-03 14:00:00 ;263.42099574;263.82373507;262.5565796;263.25400625;36545;;;;;;
2023-01-03 14:30:00 ;263.27365207;264.0300162;263.27365207;263.84338089;3663;;;;;;
2023-01-03 15:00:00 ;263.79426634;264.32470352;263.58798522;263.93178709;13280;;;;;;
2023-01-03 15:30:00 ;263.90722981;265.37575496;260.9063306;260.92597642;455575;;;;;;
2023-01-03 16:00:00 ;260.9947368;261.48588233;259.35431071;259.8945708;183573;;;;;;
2023-01-03 16:30:00 ;259.69811259;260.59199746;259.05962339;260.51341417;115770;;;;;;
2023-01-03 17:00:00 ;260.50359126;260.78845567;258.55865495;259.10873795;102092;;;;;;
2023-01-03 17:30:00 ;259.09891504;259.09891504;257.79246791;258.14118124;132243;;;;;;
2023-01-03 18:00:00 ;258.11662397;258.6961757;257.6844159;258.15591561;91501;;;;;;
2023-01-03 18:30:00 ;258.15591561;258.98104011;257.49778059;258.11662397;74542;;;;;;
2023-01-03 19:00:00 ;258.06750941;258.93192555;257.66477008;258.77475898;58536;;;;;;
2023-01-03 19:30:00 ;258.82387354;259.26590452;258.41131129;259.13820668;59479;;;;;;
2023-01-03 20:00:00 ;259.16767541;259.48200855;258.62741532;258.87298809;60123;27.287234046470616;;;;;
2023-01-03 20:30:00 ;258.89263391;260.28748723;258.11662397;259.65882094;169459;33.39205394480558;;;;;
2023-01-03 21:00:00 ;259.66864385;260.49376835;259.44271691;259.79634169;155246;34.42956560822029;;;;;
2023-01-03 21:30:00 ;259.81598752;260.29731014;259.56059184;259.77669587;216131;34.347256932101786;;;;;
2023-01-03 22:00:00 ;259.77669587;259.79634169;259.27572743;259.77669587;18788;34.347256932101786;;;;;
2023-01-03 22:30:00 ;259.65882094;259.65882094;259.57041475;259.57041475;3832;33.37562415671181;;;;;
2023-01-03 23:30:00 ;259.7079355;259.7079355;259.7079355;259.7079355;138;34.701810861290355;;;;;
2023-01-04 00:00:00 ;259.36413362;259.71775841;259.36413362;259.71775841;2505;34.80164171672021;;;;;
2023-01-04 00:30:00 ;259.84545625;259.84545625;259.84545625;259.84545625;700;36.16789399136356;;;;;
2023-01-04 01:30:00 ;260.01244573;260.06156028;260.01244573;260.06156028;3264;38.51601379981135;;;;;
2023-01-04 13:00:00 ;261.23048665;261.32871576;260.96526806;260.9947368;5240;47.49747308436546;;;;;
2023-01-04 13:30:00 ;261.07332008;261.28942412;260.52323708;260.93579933;9416;47.030196464604316;;;;;
2023-01-04 14:00:00 ;260.98491389;262.23242354;260.98491389;261.90826749;18721;54.91211582375345;;;;;
2023-01-04 14:30:00 ;261.99667369;262.1047257;261.52517397;261.67251763;9114;52.858682091686156;38.83320138957191;;;;
2023-01-04 15:00:00 ;261.76092383;261.92791331;261.23048665;261.92791331;32857;54.82935955088273;40.800496068458486;;;;
2023-01-04 15:30:00 ;261.9180904;262.18330899;260.06156028;260.69022657;324412;45.00959993182419;41.63032078181696;;;;
2023-01-04 16:00:00 ;260.68040366;261.50552815;257.90051993;258.99086302;344129;35.58582395280483;41.712910663573;;;;
2023-01-04 16:30:00 ;258.99086302;260.36607051;258.21485307;260.31695596;144782;45.22376615010364;42.48980417914456;;;;
2023-01-04 17:00:00 ;260.28748723;261.06349717;259.74722714;260.96526806;112848;49.223750810345706;43.55241088473341;;;;
2023-01-04 17:30:00 ;260.98491389;262.70392326;260.98491389;262.22260063;191189;55.94314836901263;45.16437689989776;;;;
2023-01-04 18:00:00 ;262.21277772;262.47799631;261.79039256;262.07525697;72220;55.02420350162468;46.61597637420736;;;;
2023-01-04 18:30:00 ;262.06543406;262.50746504;261.20101792;261.20101792;42845;49.797438355282;47.687104705533194;;;;
2023-01-04 19:00:00 ;261.1813721;261.88862167;260.56252873;261.70198637;69405;52.57734338270283;48.859208233486;;;;
2023-01-04 19:30:00 ;261.71180928;262.16857462;261.25013247;261.63322599;64017;52.15049358508781;49.83309964672003;;;;
2023-01-04 20:00:00 ;261.4564136;262.5565796;258.89263391;259.05962339;420173;39.29248214465218;49.24702886531194;;;;
