Options d'achat - Acheteur;Options d'achat - Vendeur;Options d'achat - Delta;Strike Price;Options de vente - Acheteur;Options de vente - Vendeur;Options de vente - Delta
126.00;129.80;0.916;6650;2.20;2.30;-0.084
121.30;129.80;0.907;6655;2.50;2.60;-0.093
116.60;126.00;0.898;6660;2.80;2.85;-0.102
111.90;115.50;0.888;6665;3.10;3.30;-0.112
107.30;113.00;0.877;6670;3.40;3.60;-0.123
103.40;106.40;0.866;6675;3.80;4.00;-0.134
98.30;101.60;0.854;6680;4.30;4.40;-0.146
94.80;99.80;0.840;6685;4.80;5.00;-0.160
90.30;92.60;0.827;6690;5.30;5.50;-0.173
85.50;90.30;0.812;6695;6.00;6.10;-0.188
82.60;83.90;0.796;6700;6.60;6.80;-0.204
78.40;80.50;0.818;6705;7.20;7.40;-0.182
74.60;75.40;0.802;6710;8.10;8.30;-0.198
70.60;71.20;0.785;6715;8.90;9.10;-0.215
66.50;67.20;0.766;6720;9.90;10.10;-0.234
62.60;63.30;0.747;6725;11.00;11.20;-0.253
58.80;59.50;0.726;6730;12.20;12.40;-0.274
55.30;55.90;0.704;6735;13.30;13.50;-0.296
51.50;52.10;0.682;6740;14.70;15.00;-0.318
48.20;48.70;0.659;6745;16.10;16.30;-0.341
45.00;45.20;0.634;6750;17.70;17.90;-0.366
41.30;41.80;0.609;6755;19.50;19.80;-0.391
38.10;38.50;0.583;6760;21.40;21.60;-0.417
35.20;35.50;0.557;6765;23.30;23.50;-0.443
32.20;32.50;0.529;6770;25.40;25.70;-0.471
29.50;29.80;0.502;6775;27.50;27.70;-0.498
26.80;27.10;0.473;6780;29.90;30.10;-0.527
24.30;24.60;0.445;6785;32.30;32.60;-0.555
21.90;22.10;0.417;6790;35.10;35.30;-0.583
19.80;20.00;0.388;6795;37.70;38.20;-0.612
17.60;17.90;0.359;6800;40.60;41.00;-0.641
15.70;16.00;0.331;6805;44.30;44.90;-0.669
14.00;14.20;0.304;6810;47.20;47.80;-0.696
12.30;12.60;0.278;6815;50.60;51.40;-0.722
10.90;11.10;0.252;6820;54.00;54.70;-0.748
9.50;9.80;0.228;6825;58.00;59.10;-0.772
8.30;8.60;0.205;6830;61.20;62.40;-0.795
7.20;7.30;0.183;6835;65.40;66.60;-0.817
6.20;6.50;0.163;6840;69.00;70.50;-0.837
5.40;5.50;0.145;6845;73.50;75.30;-0.855
4.60;4.80;0.100;6850;77.60;78.80;-0.900
4.10;4.20;0.085;6855;80.90;81.70;-0.915
3.50;3.60;0.073;6860;85.30;86.10;-0.927
3.00;3.10;0.062;6865;89.80;90.70;-0.938
2.50;2.60;0.053;6870;94.30;95.30;-0.947
2.10;2.20;0.045;6875;99.00;99.90;-0.955
1.80;1.85;0.038;6880;103.50;104.50;-0.962
1.50;1.55;0.032;6885;108.30;109.70;-0.968
1.25;1.30;0.028;6890;112.70;114.70;-0.972
1.05;1.10;0.024;6895;117.80;118.60;-0.976
0.85;0.90;0.021;6900;122.70;124.10;-0.979
