Option d'achat Acheteur;Option d'achat Vendeur;Option d'achat Delta;Strike price;Option de vente Acheteur;Option de vente Vendeur;Option de vente Delta
69.9;70.8;0.907;6870;2.35;2.45;-0.093
65.1;66.5;0.893;6875;2.8;2.9;-0.108
61.0;61.7;0.876;6880;3.3;3.4;-0.124
56.6;57.2;0.858;6885;3.9;4.0;-0.142
52.2;52.8;0.837;6890;4.5;4.6;-0.163
48.0;48.5;0.813;6895;5.2;5.4;-0.187
43.9;44.3;0.787;6900;6.2;6.3;-0.213
40.1;40.5;0.759;6905;7.1;7.3;-0.241
36.1;36.5;0.728;6910;8.3;8.5;-0.272
32.4;32.7;0.694;6915;9.5;9.7;-0.306
28.8;29.2;0.658;6920;11.0;11.2;-0.342
24.8;25.1;0.619;6925;13.1;13.3;-0.381
21.6;21.9;0.578;6930;15.0;15.1;-0.422
18.8;18.9;0.535;6935;17.0;17.2;-0.465
16.0;16.2;0.491;6940;19.0;19.3;-0.51
13.6;13.7;0.445;6945;21.7;21.9;-0.555
11.3;11.5;0.398;6950;24.5;24.8;-0.602
9.4;9.5;0.352;6955;27.5;27.8;-0.648
7.6;7.7;0.306;6960;30.4;30.7;-0.694
6.1;6.2;0.262;6965;33.9;34.5;-0.738
4.8;4.9;0.222;6970;37.7;38.3;-0.779
3.6;3.7;0.184;6975;41.5;42.3;-0.817
2.75;2.85;0.151;6980;45.5;46.1;-0.85
2.05;2.15;0.121;6985;49.8;50.6;-0.879
1.5;1.6;0.095;6990;54.2;55.0;-0.905
1.1;1.2;0.074;6995;58.8;59.6;-0.926
0.8;0.9;0.057;7000;63.5;64.3;-0.943
0.6;0.65;0.043;7005;68.2;69.1;-0.957
0.45;0.5;0.033;7010;73.0;73.9;-0.967
0.3;0.4;0.025;7015;78.1;78.8;-0.975
0.25;0.3;0.019;7020;82.8;83.7;-0.981
0.2;0.25;0.015;7025;87.8;88.7;-0.985
0.15;0.2;0.012;7030;92.7;93.6;-0.988
0.1;0.15;0.009;7035;97.8;98.6;-0.991
0.1;0.15;0.008;7040;102.6;103.5;-0.993
