Option d'achat Acheteur;Option d'achat Vendeur;Option d'achat Delta;Strike Price;Option de vente Acheteur;Option de vente Vendeur;Option de vente Delta
106.8;109.1;0.963;6710;1.65;1.7;-0.038
103.0;105.2;0.958;6715;1.8;1.85;-0.042
97.8;99.4;0.952;6720;2.05;2.15;-0.048
93.1;94.6;0.947;6725;2.35;2.45;-0.054
88.4;89.9;0.94;6730;2.6;2.75;-0.06
84.3;85.9;0.933;6735;2.85;2.95;-0.067
79.2;80.1;0.925;6740;3.3;3.5;-0.075
75.1;76.7;0.917;6745;3.6;3.7;-0.084
70.3;72.1;0.907;6750;4.1;4.2;-0.093
66.3;67.9;0.896;6755;4.6;4.7;-0.104
60.9;62.6;0.884;6760;5.3;5.5;-0.116
58.1;59.5;0.871;6765;5.8;5.9;-0.129
54.0;55.0;0.855;6770;6.5;6.7;-0.145
49.8;50.6;0.838;6775;7.4;7.6;-0.163
45.8;46.5;0.818;6780;8.3;8.5;-0.183
42.4;43.0;0.795;6785;9.3;9.5;-0.205
38.3;38.7;0.771;6790;10.6;10.8;-0.23
34.8;35.2;0.744;6795;11.8;12.0;-0.256
31.1;31.5;0.716;6800;13.5;13.8;-0.284
28.3;28.6;0.685;6805;15.0;15.2;-0.315
24.9;25.2;0.652;6810;17.1;17.3;-0.348
22.7;23.0;0.616;6815;18.3;18.6;-0.384
20.2;20.5;0.578;6820;19.9;20.2;-0.423
17.9;18.2;0.538;6825;22.1;22.6;-0.462
15.2;15.4;0.497;6830;25.1;25.5;-0.503
12.7;13.0;0.455;6835;28.4;28.7;-0.545
11.0;11.2;0.413;6840;30.4;30.9;-0.587
9.1;9.2;0.371;6845;34.5;35.2;-0.63
7.8;8.1;0.329;6850;37.0;38.0;-0.671
6.2;6.4;0.289;6855;41.6;42.5;-0.711
5.3;5.5;0.251;6860;44.4;45.5;-0.75
4.3;4.5;0.214;6865;49.1;50.2;-0.786
3.8;3.9;0.146;6870;49.7;51.1;-0.854
3.0;3.2;0.123;6875;54.1;55.0;-0.877
2.4;2.5;0.103;6880;58.3;59.8;-0.897
1.9;2.0;0.086;6885;63.1;64.5;-0.914
1.55;1.6;0.072;6890;67.3;68.9;-0.928
1.2;1.3;0.068;6895;72.4;73.8;-0.932
0.95;1.05;0.054;6900;76.8;78.0;-0.946
0.8;0.85;0.042;6905;81.9;83.4;-0.958
0.6;0.7;0.033;6910;86.3;88.0;-0.968
0.5;0.55;0.025;6915;91.6;93.1;-0.975
0.4;0.45;0.02;6920;96.1;97.8;-0.981
0.3;0.35;0.015;6925;101.3;102.3;-0.985
