time;open
2020-10-16 15:30:00 ;26.67
2020-10-19 15:30:00 ;27.57
2020-10-20 15:30:00 ;28.79
2020-10-21 15:30:00 ;29.34
2020-10-22 15:30:00 ;29.12
2020-10-23 15:30:00 ;27.7
2020-11-02 15:30:00 ;37.42
2020-11-03 15:30:00 ;35.82
2020-11-04 15:30:00 ;30.87
2020-11-05 15:30:00 ;26.93
2020-11-06 15:30:00 ;27.37
2020-11-09 15:30:00 ;23.86
2020-11-10 15:30:00 ;25.06
2020-11-11 15:30:00 ;24.25
2020-11-12 15:30:00 ;24.23
2020-11-13 15:30:00 ;24.18
2020-11-16 15:30:00 ;23.42
2020-11-17 15:30:00 ;23.31
2020-11-18 15:30:00 ;22.59
2020-11-19 15:30:00 ;23.96
2020-11-20 15:30:00 ;22.64
2020-11-23 15:30:00 ;23.2
2020-11-24 15:30:00 ;22.11
2020-11-25 15:30:00 ;22.08
2020-11-27 15:30:00 ;21.13
2020-11-30 15:30:00 ;21.85
2020-12-01 15:30:00 ;20.16
2020-12-02 15:30:00 ;21.17
2020-12-03 15:30:00 ;20.85
2020-12-04 15:30:00 ;20.69
2020-12-07 15:30:00 ;22
2020-12-08 15:30:00 ;21.72
2020-12-09 15:30:00 ;20.43
2020-12-10 15:30:00 ;23.09
2020-12-11 15:30:00 ;23.49
2020-12-14 15:30:00 ;22.61
2020-12-15 15:30:00 ;23.15
2020-12-16 15:30:00 ;23.23
2020-12-17 15:30:00 ;22.1
2020-12-18 15:30:00 ;21.94
2020-12-21 15:30:00 ;26.71
2020-12-22 15:30:00 ;24.24
2020-12-23 15:30:00 ;23.19
2020-12-24 15:30:00 ;22.64
2020-12-28 15:30:00 ;21.58
2020-12-29 15:30:00 ;21.37
2020-12-30 15:30:00 ;22.68
2020-12-31 15:30:00 ;23.05
2021-01-04 15:30:00 ;23.66
2021-01-05 15:30:00 ;28.1
2021-01-06 15:30:00 ;24.9
2021-01-07 15:30:00 ;23.21
2021-01-08 15:30:00 ;22.21
2021-01-11 15:30:00 ;24.44
2021-01-12 15:30:00 ;23.64
2021-01-13 15:30:00 ;22.98
2021-01-14 15:30:00 ;22.22
2021-01-15 15:30:00 ;23.7
2021-01-19 15:30:00 ;22.92
2021-01-20 15:30:00 ;22.51
2021-01-21 15:30:00 ;21.51
2021-01-22 15:30:00 ;22.55
2021-01-25 15:30:00 ;22.84
2021-01-26 15:30:00 ;22.67
2021-01-27 15:30:00 ;27.22
2021-01-28 15:30:00 ;30.17
2021-01-29 15:30:00 ;31.89
2021-02-01 15:30:00 ;31.16
2021-02-02 15:30:00 ;27.11
2021-02-03 15:30:00 ;25.05
2021-02-04 15:30:00 ;22.46
2021-02-05 15:30:00 ;21.59
2021-02-08 15:30:00 ;21.68
2021-02-09 15:30:00 ;21.85
2021-02-10 15:30:00 ;21.59
2021-02-11 15:30:00 ;21.8
2021-02-12 15:30:00 ;21.44
2021-02-16 15:30:00 ;21.61
2021-02-17 15:30:00 ;22.94
2021-02-18 15:30:00 ;23.22
2021-02-19 15:30:00 ;22.27
2021-02-22 15:30:00 ;23.9
2021-02-23 15:30:00 ;24.96
2021-02-24 15:30:00 ;24.23
2021-02-25 15:30:00 ;22.42
2021-02-26 15:30:00 ;27.55
2021-03-01 15:30:00 ;24.49
2021-03-02 15:30:00 ;23.15
2021-03-03 15:30:00 ;24.47
2021-03-04 15:30:00 ;26.24
2021-03-05 15:30:00 ;26.27
2021-03-08 15:30:00 ;25.9
2021-03-09 15:30:00 ;24.41
2021-03-10 15:30:00 ;22.58
2021-03-11 15:30:00 ;22.22
2021-03-12 15:30:00 ;22.62
2021-03-29 15:30:00 ;20.57
2021-03-30 15:30:00 ;21.08
2021-03-31 15:30:00 ;19.34
2021-04-01 15:30:00 ;18.33
2021-04-05 15:30:00 ;17.73
2021-04-06 15:30:00 ;17.99
2021-04-07 15:30:00 ;17.85
2021-04-08 15:30:00 ;16.56
2021-04-09 15:30:00 ;17.21
2021-04-12 15:30:00 ;17.34
2021-04-13 15:30:00 ;17.05
2021-04-14 15:30:00 ;16.92
2021-04-15 15:30:00 ;16.61
2021-04-16 15:30:00 ;16.69
2021-04-19 15:30:00 ;17.08
2021-04-20 15:30:00 ;18.19
2021-04-21 15:30:00 ;19.07
2021-04-22 15:30:00 ;17.48
2021-04-23 15:30:00 ;18.49
2021-04-26 15:30:00 ;17.69
2021-04-27 15:30:00 ;17.71
2021-04-28 15:30:00 ;17.4
2021-04-29 15:30:00 ;17.09
2021-04-30 15:30:00 ;18.32
2021-05-03 15:30:00 ;18.36
2021-05-04 15:30:00 ;19.51
2021-05-05 15:30:00 ;18.48
2021-05-06 15:30:00 ;19.15
2021-05-07 15:30:00 ;18.28
2021-05-10 15:30:00 ;17.47
2021-05-11 15:30:00 ;21.81
2021-05-12 15:30:00 ;23.12
2021-05-13 15:30:00 ;24.51
2021-05-14 15:30:00 ;20.79
2021-05-17 15:30:00 ;20.28
2021-05-18 15:30:00 ;19.91
2021-05-19 15:30:00 ;24.93
2021-05-20 15:30:00 ;21.09
