time,open,high,low,close,range,range_5d_avg
2020-03-11,2825.6,2825.6,2707.22,2741.38,118.38000000000011,
2020-03-12,2630.86,2660.95,2478.86,2480.64,182.0899999999997,
2020-03-13,2569.99,2711.33,2492.37,2711.02,218.96000000000004,
2020-03-16,2508.59,2562.98,2380.94,2386.13,182.03999999999996,
2020-03-17,2425.66,2553.93,2367.04,2529.19,186.88999999999987,177.67199999999994
2020-03-18,2436.5,2453.57,2280.52,2398.1,173.05000000000018,188.60599999999994
2020-03-19,2393.48,2466.97,2319.78,2409.39,147.1899999999996,181.62599999999992
2020-03-20,2431.94,2453.01,2295.56,2304.92,157.45000000000027,169.32399999999998
2020-03-23,2290.71,2300.73,2191.86,2237.4,108.86999999999989,154.68999999999997
2020-03-24,2344.44,2449.71,2344.44,2447.33,105.26999999999998,138.36599999999999
2020-03-25,2457.77,2571.42,2407.53,2475.56,163.88999999999987,136.53399999999993
2020-03-26,2501.29,2637.01,2500.72,2630.07,136.29000000000042,134.3540000000001
2020-03-27,2555.87,2615.91,2520.02,2541.47,95.88999999999987,122.042
2020-03-30,2558.98,2631.8,2545.28,2626.65,86.51999999999998,117.57200000000003
2020-03-31,2614.69,2641.39,2571.15,2584.59,70.23999999999978,110.56599999999999
2020-04-01,2498.08,2522.75,2447.49,2470.5,75.26000000000022,92.84000000000006
2020-04-02,2458.54,2533.22,2455.79,2526.9,77.42999999999984,81.06799999999994
2020-04-03,2514.92,2538.18,2459.96,2488.65,78.2199999999998,77.53399999999992
2020-04-06,2578.28,2676.85,2574.57,2663.68,102.27999999999975,80.68599999999988
2020-04-07,2738.65,2756.89,2657.67,2659.41,99.2199999999998,86.48199999999989
2020-04-08,2685.0,2760.75,2663.3,2749.98,97.44999999999982,90.9199999999998
2020-04-09,2776.99,2818.57,2762.36,2789.82,56.210000000000036,86.67599999999985
2020-04-13,2782.46,2782.46,2721.17,2761.63,61.289999999999964,83.28999999999988
2020-04-14,2805.1,2851.85,2805.1,2846.06,46.75,72.18399999999993
2020-04-15,2795.64,2801.88,2761.54,2783.36,40.340000000000146,60.407999999999994
2020-04-16,2799.34,2806.51,2764.32,2799.55,42.190000000000055,49.35600000000004
2020-04-17,2842.43,2879.22,2830.88,2874.56,48.33999999999969,47.78199999999997
2020-04-20,2845.62,2868.98,2820.43,2823.16,48.55000000000018,45.234000000000016
2020-04-21,2784.81,2785.54,2727.1,2736.56,58.440000000000055,47.572000000000024
2020-04-22,2787.89,2815.1,2775.95,2799.31,39.15000000000009,47.33400000000002
2020-04-23,2810.42,2844.9,2794.26,2797.8,50.63999999999987,49.02399999999998
2020-04-24,2812.64,2842.71,2791.76,2836.74,50.94999999999982,49.54600000000001
2020-04-27,2854.65,2887.72,2852.89,2878.48,34.82999999999993,46.80199999999995
2020-04-28,2909.96,2921.15,2860.71,2863.39,60.440000000000055,47.201999999999956
2020-04-29,2918.46,2954.86,2912.16,2939.51,42.70000000000027,47.91199999999999
2020-04-30,2930.91,2930.91,2892.47,2912.43,38.440000000000055,45.47200000000002
2020-05-01,2869.09,2869.09,2821.61,2830.71,47.48000000000002,44.77800000000006
2020-05-04,2815.01,2844.24,2797.85,2842.74,46.38999999999987,47.09000000000005
2020-05-05,2868.88,2898.23,2863.55,2868.44,34.679999999999836,41.93800000000001
2020-05-06,2883.14,2891.11,2847.65,2848.42,43.460000000000036,42.08999999999996
2020-05-07,2878.26,2901.92,2876.48,2881.19,25.440000000000055,39.48999999999997
2020-05-08,2908.83,2932.16,2902.88,2929.8,29.279999999999745,35.84999999999991
2020-05-11,2915.46,2944.25,2903.44,2930.32,40.809999999999945,34.733999999999924
2020-05-12,2939.5,2945.82,2869.59,2870.12,76.23000000000002,43.04399999999996
2020-05-13,2865.86,2874.14,2793.15,2820.0,80.98999999999978,50.54999999999991
2020-05-14,2794.54,2852.8,2766.64,2852.5,86.16000000000031,62.69399999999996
2020-05-15,2829.95,2865.01,2816.78,2863.7,48.23000000000002,66.48400000000001
2020-05-18,2913.86,2968.09,2913.86,2953.91,54.23000000000002,69.16800000000003
2020-05-19,2948.59,2964.21,2922.35,2922.94,41.86000000000013,62.294000000000054
2020-05-20,2953.63,2980.29,2953.63,2971.61,26.659999999999854,51.42800000000007
2020-05-21,2969.95,2978.5,2938.57,2948.51,39.929999999999836,42.181999999999974
2020-05-22,2948.05,2956.76,2933.59,2955.45,23.170000000000073,37.16999999999998
