time;open;high;low;close;RSI;RSI-based MA
2020-12-18 21:00:00 ;3691.33;3694.36;3685.84;3687.62;32.618950505546636;46.20475100624761
2020-12-18 21:30:00 ;3687.59;3716.65;3686.41;3710.56;55.239387704633316;45.31986177278173
2020-12-18 22:00:00 ;3708.62;3709.84;3708.62;3709.41;54.25605486046526;44.37818034437172
2020-12-21 15:30:00 ;3684.28;3684.28;3664.03;3664.95;31.160988434311463;42.85139378762069
2020-12-21 16:00:00 ;3664.8;3665.22;3636.48;3644.14;25.656095540228762;41.53110705939934
2020-12-21 16:30:00 ;3644.04;3651.9;3639.16;3649.92;29.387396781106276;40.320350673806
2020-12-21 17:00:00 ;3649.9;3662.97;3649.08;3661.24;36.14669487929232;39.9707027441026
2020-12-21 17:30:00 ;3661.31;3671.31;3661.31;3668.54;40.12695830620693;39.759311006637965
2020-12-21 18:00:00 ;3668.56;3681.29;3668.56;3681.29;46.41018462600205;39.63733725646897
2020-12-21 18:30:00 ;3681.28;3689.72;3681.26;3687.96;49.40167658885189;39.84993533998874
2020-12-21 19:00:00 ;3688.01;3692.52;3686.83;3692.19;51.25987232360438;40.401893171363916
2020-12-21 19:30:00 ;3692.21;3699.18;3692.07;3696.08;52.97036362691355;41.23714347955572
2020-12-21 20:00:00 ;3696.07;3699.8;3692.23;3699.3;54.39701682786144;42.450987245178375
2020-12-21 20:30:00 ;3699.29;3702.9;3695.38;3695.76;52.51106877714596;43.681622127297864
2020-12-21 21:00:00 ;3695.78;3697.54;3689.15;3692.56;50.79663396421032;44.98002808863098
2020-12-21 21:30:00 ;3692.58;3696.57;3681.68;3694.9;52.02999561230907;44.75078579632211
2020-12-21 22:00:00 ;3695;3695;3694.89;3694.92;52.04106093323918;44.59257194437738
2020-12-22 15:30:00 ;3698.08;3698.08;3688.35;3693.55;51.17032259637383;46.02181009881041
2020-12-22 16:00:00 ;3693.98;3696.61;3686.29;3694.48;51.76037758821521;47.88640167366659
2020-12-22 16:30:00 ;3694.52;3698.26;3689.41;3692.64;50.46114970427835;49.39166973960745
2020-12-22 17:00:00 ;3692.62;3695.86;3688.26;3691.61;49.70896123796889;50.3604030509415
2020-12-22 17:30:00 ;3691.66;3691.99;3676.16;3685.6;45.451598802702236;50.74073451497687
2020-12-22 18:00:00 ;3685.71;3690.46;3684.89;3686.12;45.88346525650504;50.70311170286994
2020-12-22 18:30:00 ;3686.04;3691.46;3686.04;3689.48;48.70917621583392;50.653647390511516
2020-12-22 19:00:00 ;3689.59;3694.18;3689.59;3693.53;51.96496552236749;50.70401119042317
2020-12-22 19:30:00 ;3693.54;3697.6;3693.54;3695.49;53.50320985081472;50.74207163498754
2020-12-22 20:00:00 ;3695.44;3696.51;3693.22;3694.87;52.92583845511616;50.636987465505726
2020-12-22 20:30:00 ;3694.86;3694.91;3687.72;3690.65;49.04624155210988;50.38949980657458
2020-12-22 21:00:00 ;3690.66;3691.85;3684.61;3684.92;44.29802936698692;49.92531376391576
2020-12-22 21:30:00 ;3684.88;3688.01;3681.09;3686.95;46.282154553860614;49.5147536883123
2020-12-22 22:00:00 ;3687.33;3687.33;3687.21;3687.26;46.595000666901775;49.12574938357392
2020-12-23 15:30:00 ;3693.42;3706.98;3693.42;3704.43;60.363833021719564;49.782428699670035
2020-12-23 16:00:00 ;3704.49;3706.32;3698.42;3700.07;56.388216949834074;50.11298865407138
2020-12-23 16:30:00 ;3700.13;3704.11;3699.71;3703.45;58.6612207931442;50.6987080175618
2020-12-23 17:00:00 ;3703.38;3706.32;3702.14;3702.95;58.178168266677936;51.303651376755305
2020-12-23 17:30:00 ;3703;3706.02;3702.25;3705.75;60.156822626319936;52.35402450701371
2020-12-23 18:00:00 ;3705.92;3707.85;3704.88;3705.83;60.2147395825799;53.3776869588762
2020-12-23 18:30:00 ;3705.87;3709.28;3705.81;3708.24;62.00647190536624;54.32749379384279
2020-12-23 19:00:00 ;3708.27;3710.35;3708.03;3709.86;63.20600042382594;55.130424858232686
2020-12-23 19:30:00 ;3709.85;3711.24;3708.74;3708.98;62.05979196315184;55.7416092948282
2020-12-23 20:00:00 ;3708.99;3710.15;3705.47;3705.48;57.586798241078654;56.074534993825516
2020-12-23 20:30:00 ;3705.47;3707.84;3703.68;3703.93;55.6730648240137;56.54787951324721
2020-12-23 21:00:00 ;3703.96;3706.03;3702.54;3702.54;53.941845489619084;57.23672352200665
2020-12-23 21:30:00 ;3702.57;3705.84;3689.28;3689.98;41.41095948166091;56.888781016849535
2020-12-23 22:00:00 ;3689.72;3690.03;3689.72;3690.01;41.44594829626397;56.520991561803974
2020-12-24 15:30:00 ;3694.03;3699.65;3694.03;3698.74;50.67679976282519;55.8290606147401
2020-12-24 16:00:00 ;3698.73;3701.2;3697.34;3700.61;52.407551998228854;55.54472740391115
2020-12-24 16:30:00 ;3700.6;3701.62;3696.66;3696.72;48.58805766156544;54.82521575165553
2020-12-24 17:00:00 ;3696.88;3699.78;3693.95;3694.1;46.14852736076516;53.965955686947474
2020-12-24 17:30:00 ;3694.09;3696.09;3691.15;3693.4;45.49134352347606;52.91842146531577
2020-12-24 18:00:00 ;3693.46;3696.38;3689.32;3696.38;48.831989584748904;52.105367894042125
2020-12-24 18:30:00 ;3696.41;3703.82;3696.23;3703.63;55.91140886256033;51.67000624812742
2020-12-24 19:00:00 ;3703.37;3703.57;3703.06;3703.06;55.2640231155009;51.10272215467563
2020-12-28 15:30:00 ;3723.03;3731.38;3723.03;3728.69;71.33573034549501;51.765289181985864
2020-12-28 16:00:00 ;3728.71;3734.76;3726.14;3734.23;73.54786547127034;52.905365412713834
2020-12-28 16:30:00 ;3734.29;3737.82;3734.16;3735.59;74.07676573389452;54.21991547770533
2020-12-28 17:00:00 ;3735.65;3735.77;3732.7;3733.88;72.12406739928966;55.51864561411037
2020-12-28 17:30:00 ;3734;3735.3;3732.58;3733.32;71.45972634368815;57.66498610425517
2020-12-28 18:00:00 ;3733.35;3735.3;3732.98;3735.07;72.31784143291812;59.87012132830189
2020-12-28 18:30:00 ;3735.02;3736.41;3734.1;3735.23;72.3995504861498;61.421746379967935
2020-12-28 19:00:00 ;3735.18;3736.45;3734.7;3735.56;72.57932454157532;62.86258727592126
2020-12-28 19:30:00 ;3735.55;3737.96;3735.5;3737.24;73.52475769802363;64.64378013566827
2020-12-28 20:00:00 ;3737.28;3739.85;3736.86;3739.01;74.52148302483666;66.67041982595909
2020-12-28 20:30:00 ;3739;3740.51;3738.57;3739.38;74.73560321718493;68.75929551836687
2020-12-28 21:00:00 ;3739.35;3740.13;3735.9;3735.96;68.96622513565072;70.19745520057414
2020-12-28 21:30:00 ;3735.97;3737.98;3733.57;3735.25;67.79612440630987;71.0463634536991
2020-12-28 22:00:00 ;3735.56;3735.56;3735.35;3735.36;67.88702909839341;71.94800673819142
2020-12-29 15:30:00 ;3750.01;3756.12;3737.33;3739.98;71.52289583904484;71.96137570201641
2020-12-29 16:00:00 ;3739.93;3743.43;3733.03;3737.48;67.09592814228257;71.50052303566015
2020-12-29 16:30:00 ;3737.54;3742.44;3736.81;3741.84;70.5226642097392;71.24665864107763
2020-12-29 17:00:00 ;3741.94;3742.21;3734.45;3740.62;68.37682121621916;70.97899819942974
2020-12-29 17:30:00 ;3740.66;3742.86;3738.59;3740.25;67.70398395644659;70.71073088605534
2020-12-29 18:00:00 ;3740.21;3740.46;3732.64;3735.53;59.64140549844036;69.80527117644978
2020-12-29 18:30:00 ;3735.75;3735.75;3723.89;3729.97;51.81389833337527;68.3348674512516
2020-12-29 19:00:00 ;3729.96;3731.54;3726.4;3731.37;53.46985120723337;66.96990507022717
2020-12-29 19:30:00 ;3731.34;3732.92;3728.84;3731.86;54.06486076971643;65.57991243249094
2020-12-29 20:00:00 ;3731.87;3731.91;3724.89;3725.34;45.69213031808086;63.52067295343695
2020-12-29 20:30:00 ;3725.31;3729.13;3723.31;3727.59;48.6476377325757;61.65724684739344
2020-12-29 21:00:00 ;3727.57;3734.44;3725.68;3734.01;56.00482091162829;60.73143225996328
2020-12-29 21:30:00 ;3734;3734.2;3725.29;3727.45;48.37786348548023;59.34441362276116
2020-12-29 22:00:00 ;3727.52;3727.52;3727.04;3727.04;47.93844878012549;57.919515028599164
2020-12-30 15:30:00 ;3736.19;3743.24;3736.19;3742.77;62.14481068057176;57.249651802993945
2020-12-30 16:00:00 ;3742.91;3744.63;3737.07;3741.58;60.793284996754345;56.799463006884785
