time,open,high,low,close,VWAP,Upper Band #1,Lower Band #1,Volume,RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label,Plot,Williams VIX Fix,IV Rank,IV Percentile
2020-03-12,39.1,49.6,37.95,45.825,44.458333333333336,44.458333810170494,44.45833285649618,178588,78.45880320959564,80.11667058000542,,,,,22.315717177939497,17.18494271685761,59.01230164817608,79.36507936507937
2020-03-13,49.5,51,40,43.9,44.96666666666667,44.96666714350383,44.96666618982951,160133,74.07308349293913,80.37690632170286,,,,,22.437151522636675,12.711402073104205,43.51434601562949,48.01587301587302
2020-03-16,43.75,63,43.75,59.15,55.300000000000004,55.300000000000004,55.300000000000004,137792,82.44498606741175,80.85126142118564,,,,,24.039293101219105,26.035502958579883,89.6738292551562,98.01587301587301
2020-03-17,59.95,63.1,50,61.425,58.17499999999999,58.17500067434957,58.17499932565041,168870,83.31076301675859,81.37186624006395,,,,,24.865964915171357,18.599918599918595,63.91428761480038,84.52380952380952
2020-03-18,60.75,80.85,60.1,70.475,70.475,70.475,70.475,164612,86.22180809894289,81.62542376038131,,,,,25.77513650103467,14.721532458318542,50.4781614822858,59.92063492063492
2020-03-19,71.45,79.95,56.7,66.3,67.64999999999999,67.64999999999999,67.64999999999999,176317,79.34590785587068,81.38318395895418,,,,,26.949047991072728,19.54593827598438,67.19164041758667,86.90476190476191
2020-03-20,67.25,68.95,53.1,61.525,61.19166666666667,61.19166666666667,61.19166666666667,135524,72.24934676709137,80.65792030092702,,,,,27.191452645242094,24.654132671159978,84.88826517261114,96.03174603174604
2020-03-23,63.15,72.5,48.85,49.45,56.93333333333334,56.93333333333334,56.93333333333334,128163,58.0983860089688,78.66862503718679,,,,,28.48274537786254,30.684639943242274,100,100
2020-03-24,48.55,48.95,40.15,48.25,45.78333333333334,45.78333333333334,45.78333333333334,101331,56.905537420442435,77.3049047533448,,,,,29.067126811482776,43.029443064916634,100,100
2020-03-25,47,54.15,44.2,51.275,49.875,49.875,49.875,75552,59.18071581114845,75.690978795752,,,,,28.990428839016314,37.282724370344084,86.59770401796855,99.60317460317461
2020-03-26,51.45,56,45.7,45.875,49.19166666666666,49.19166666666666,49.19166666666666,82307,53.72760262966459,73.44654129998241,,,,,28.419666745783115,35.15431003902092,81.63389069129023,99.20634920634922
2020-03-27,46.35,53.65,45.65,53.425,50.90833333333333,50.90833333333333,50.90833333333333,55940,59.365271175952955,71.2808545022826,,,,,26.196185084226293,35.22525718339837,81.79935113551286,99.20634920634922
2020-03-30,55.9,56.55,49.55,49.775,51.958333333333336,51.958333333333336,51.958333333333336,46971,55.82423077539993,69.43143519566912,,,,,25.458032255226083,29.691379921958138,68.89343648614924,98.01587301587301
2020-03-31,49.65,51.3,45.9,46.775,47.99166666666667,47.99166666666667,47.99166666666667,55428,53.02467260968064,68.01650820999056,,,,,25.016143233751645,34.870521461511174,80.9720489143998,98.4126984126984
2020-04-01,48.85,51.75,47.45,51.325,50.175000000000004,50.175000000000004,50.175000000000004,46597,56.58114876901844,66.45381860709217,,,,,23.61865153328307,32.67115998581056,75.84277514349887,98.01587301587301
2020-04-02,50.5,51.05,47.05,47.175,48.42499999999999,48.42499999999999,48.42499999999999,42366,52.664711463107345,64.9246491763899,,,,,22.499002233492615,33.23873714083008,77.16645869727977,98.01587301587301
2020-04-03,47.55,49.05,44.15,44.925,46.041666666666664,46.041666666666664,46.041666666666664,48382,50.61896511415076,62.65136196544268,,,,,20.108802171444772,37.35367151472153,86.76316446219118,99.60317460317461
2020-04-06,44.95,44.95,40.3,41.775,42.34166666666667,42.34166666666667,42.34166666666667,39248,47.81843557195257,60.11619571938511,,,,,19.266195072990012,42.816601631784316,99.50361866733216,99.60317460317461
2020-04-07,38.2,39.85,36.45,39.675,38.65833333333334,38.65833333333334,38.65833333333334,46843,45.99160250982346,57.24260960587658,,,,,17.763753957827692,48.2795317488471,100,100
2020-04-08,39.6,40.15,37.75,38.3,38.733333333333334,38.733333333333334,38.733333333333334,28650,44.78516247587686,54.77398493587703,,,,,15.839377329460925,46.434905995033695,96.16730626420197,99.60317460317461
2020-04-09,38.35,39.35,36.84,36.925,37.705,37.705,37.705,41535,43.554759145887886,52.7243715343625,,,,,14.599880124674206,47.726144022703075,98.85019187926059,99.60317460317461
2020-04-13,36.75,38.4,36.1,36.125,36.875,36.875,36.875,27502,42.81768946996637,51.63289321014804,,,,,12.299107522707375,48.77616175948917,100,100
2020-04-14,36.25,36.45,32.975,32.975,34.13333333333333,34.13333333333333,34.13333333333333,47813,39.950844909196455,50.42184374505904,,,,,11.642857632041542,53.210358283079096,100,100
2020-04-15,33.25,37.1,33.1,36.575,35.59166666666667,35.59166666666667,35.59166666666667,47485,44.522509462876585,49.37482900589676,,,,,11.063408719069432,53.032990422135505,99.66571911733713,99.60317460317461
2020-04-16,36.55,38,35.6,36.525,36.708333333333336,36.708333333333336,36.708333333333336,38072,44.47186814307031,48.71370511399717,,,,,10.097272799508998,49.48563320326356,92.98010146407968,99.20634920634922
2020-04-17,34.95,36.2,34.05,34.575,34.94166666666667,34.94166666666667,34.94166666666667,41482,42.44421717555971,47.50505839968337,,,,,9.335664842370377,51.684994678964166,97.1251844090993,99.20634920634922
2020-04-20,35.05,39.2,34.85,39.075,37.708333333333336,37.708333333333336,37.708333333333336,39529,48.302131906925844,46.96776562336379,,,,,9.355253211582204,47.43589743589743,89.1170144431526,97.22222222222221
2020-04-21,39,43.35,37.4,41.775,40.84166666666667,40.84166666666667,40.84166666666667,66827,51.492211298083866,46.858304101106874,,,,,9.667989470915,39.211702559934984,73.6170748954662,95.63492063492063
2020-04-22,41.4,42.4,39.1,39.625,40.375,40.375,40.375,35340,48.90437981456907,46.30996346150335,,,,,9.47252074830951,26.81328965839962,50.250088417222806,90.07936507936508
2020-04-23,39.5,40.3,38.05,39.725,39.35833333333333,39.35833333333333,39.35833333333333,42378,49.032681528420675,46.050532751882876,,,,,9.283160691570641,28.77866167524567,53.954177134632154,91.26984126984127
2020-04-24,39.8,40.55,36.65,36.775,37.99166666666667,37.99166666666667,37.99166666666667,42617,45.41017900971643,45.67847660156614,,,,,9.242491965454166,31.399157697707064,58.892962091177935,92.46031746031747
2020-04-27,36.55,37.15,33.45,33.875,34.824999999999996,34.824999999999996,34.824999999999996,47550,42.116115102922556,45.27116799663542,,,,,9.22182043414117,37.38886289190453,70.18161342042542,95.23809523809523
2020-04-28,34,35.05,32.55,34.175,33.925,33.925,33.925,36429,42.580148047770756,45.02749267791737,,,,,8.838478693568087,39.07346747777258,73.3565466067763,95.23809523809523
2020-04-29,34.1,34.25,31.45,31.925,32.541666666666664,32.541666666666664,32.541666666666664,47157,39.99076218748563,44.68503551446084,,,,,8.991619714283017,38.72381880175354,72.69757227275805,94.84126984126983
2020-04-30,31.6,34.85,31.45,33.975,33.425000000000004,33.425000000000004,33.425000000000004,40733,43.3698049566611,44.67182450094465,,,,,9.284222288679777,38.72381880175354,72.69757227275805,94.44444444444444
2020-05-01,34.9,37.8,34.8,37.35,36.65,36.65,36.65,44159,48.51025258520478,45.07843615203311,,,,,9.643467709958047,32.19678519240137,60.39623118144101,90.87301587301587
2020-05-04,38,39.85,35.55,35.675,37.025,37.025,37.025,40127,46.26566080320748,45.52949443017676,,,,,9.778706308114062,24.642289348171705,46.158457069223765,84.12698412698413
2020-05-05,35.75,36.1,32.9,34.025,34.34166666666667,34.34166666666667,34.34166666666667,39297,44.10092287429528,45.49938110242095,,,,,9.525877020765302,26.766833611574846,50.16253383853535,86.90476190476191
2020-05-06,34.2,35.1,33,34.775,34.291666666666664,34.291666666666664,34.291666666666664,39225,45.35255984499188,45.562287652558204,,,,,9.498025107137227,21.005385996409334,39.30407400276003,78.96825396825396
2020-05-07,34.8,35.05,32.05,32.125,33.074999999999996,33.074999999999996,33.074999999999996,41865,41.79186473274653,45.51569104950012,,,,,9.630218423809234,23.27947336923998,43.58999102401824,80.95238095238095
2020-05-08,32.2,32.3,29.3,29.325,30.30833333333333,30.308333810170488,30.308332856496172,39789,38.36450693301115,44.8058606942205,,,,,9.341775860916774,29.862357869539196,55.99659292766037,89.68253968253968
2020-05-11,30,31.65,27.5,27.825,28.991666666666664,28.991666666666664,28.991666666666664,43345,36.63134755331087,43.744370426736715,,,,,9.264963027797213,34.17115499700778,64.11727781004433,91.66666666666666
2020-05-12,28,33.4,26.5,33.075,30.991666666666664,30.991666666666664,30.991666666666664,52617,45.85168027663869,43.52632045974168,,,,,10.47199033246929,36.56493117893477,68.62876941136874,92.85714285714286
2020-05-13,32.85,36.05,30.85,34.925,33.94166666666667,33.94166666666667,33.94166666666667,92162,48.685111153645906,43.50149400440063,,,,,11.18939110781122,26.152004787552357,49.00378094560752,84.92063492063492
2020-05-14,34.25,37.55,32.8,32.925,34.425,34.425,34.425,70123,45.88945661963592,43.535728119394875,,,,,11.459610920356965,21.484141232794737,40.20637232302492,76.98412698412699
2020-05-15,33.15,35.15,32.25,32.725,33.375,33.375,33.375,57064,45.6074186928533,43.78510694724707,,,,,11.3700904822289,22.800718132854573,42.687692703753335,78.96825396825396
2020-05-18,32.7,32.75,29.8,30.1,30.883333333333336,30.883333333333336,30.883333333333336,50433,41.96209763983321,43.74096048953725,,,,,11.486836274809601,28.665469778575698,53.74084712699816,87.3015873015873
2020-05-19,30.2,32.15,29.55,32.075,31.258333333333336,31.258333670508126,31.258332996158547,56775,45.49215512805932,44.133917128149655,,,,,11.518604140935993,29.263913824057447,54.86872002732927,88.09523809523809
2020-05-20,32.05,32.4,29.5,29.775,30.558333333333337,30.558333333333337,30.558333333333337,69044,42.26792233531621,44.05521122662502,,,,,11.403700468456623,29.3836026331538,55.09429460739549,88.09523809523809
2020-05-21,29.6,31.3,29.45,31.025,30.59166666666667,30.59166666666667,30.59166666666667,49242,44.567363362434556,43.773576282141434,,,,,11.043342469684694,25.86532410320957,48.46348085011853,82.93650793650794
2020-05-22,30.8,32.55,30.15,30.375,31.024999999999995,31.024999999999995,31.024999999999995,43134,43.59499734792435,43.58281460676407,,,,,10.773555289807517,24.103209565764637,45.142466547998225,78.96825396825396
2020-05-26,29.5,30.15,28.7,29.625,29.491666666666664,29.491666666666664,29.491666666666664,53302,42.44429049896432,43.46448372281185,,,,,10.526736463996244,23.159303882195452,43.363510521943724,76.98412698412699
2020-05-27,29.7,31.35,28.65,29.075,29.691666666666666,29.691666666666666,29.691666666666666,57315,41.57758136393895,43.19484240273665,,,,,10.736878724566802,23.293172690763058,43.615809801254734,77.77777777777779
