time,open,high,low,close,range,range_20d_avg
2020-03-11,2825.6,2825.6,2707.22,2741.38,118.38000000000011,
2020-03-12,2630.86,2660.95,2478.86,2480.64,182.0899999999997,
2020-03-13,2569.99,2711.33,2492.37,2711.02,218.96000000000004,
2020-03-16,2508.59,2562.98,2380.94,2386.13,182.03999999999996,
2020-03-17,2425.66,2553.93,2367.04,2529.19,186.88999999999987,
2020-03-18,2436.5,2453.57,2280.52,2398.1,173.05000000000018,
2020-03-19,2393.48,2466.97,2319.78,2409.39,147.1899999999996,
2020-03-20,2431.94,2453.01,2295.56,2304.92,157.45000000000027,
2020-03-23,2290.71,2300.73,2191.86,2237.4,108.86999999999989,
2020-03-24,2344.44,2449.71,2344.44,2447.33,105.26999999999998,
2020-03-25,2457.77,2571.42,2407.53,2475.56,163.88999999999987,
2020-03-26,2501.29,2637.01,2500.72,2630.07,136.29000000000042,
2020-03-27,2555.87,2615.91,2520.02,2541.47,95.88999999999987,
2020-03-30,2558.98,2631.8,2545.28,2626.65,86.51999999999998,
2020-03-31,2614.69,2641.39,2571.15,2584.59,70.23999999999978,
2020-04-01,2498.08,2522.75,2447.49,2470.5,75.26000000000022,
2020-04-02,2458.54,2533.22,2455.79,2526.9,77.42999999999984,
2020-04-03,2514.92,2538.18,2459.96,2488.65,78.2199999999998,
2020-04-06,2578.28,2676.85,2574.57,2663.68,102.27999999999975,
2020-04-07,2738.65,2756.89,2657.67,2659.41,99.2199999999998,128.27149999999995
2020-04-08,2685.0,2760.75,2663.3,2749.98,97.44999999999982,127.22499999999994
2020-04-09,2776.99,2818.57,2762.36,2789.82,56.210000000000036,120.93099999999995
2020-04-13,2782.46,2782.46,2721.17,2761.63,61.289999999999964,113.04749999999994
2020-04-14,2805.1,2851.85,2805.1,2846.06,46.75,106.28299999999994
2020-04-15,2795.64,2801.88,2761.54,2783.36,40.340000000000146,98.95549999999996
2020-04-16,2799.34,2806.51,2764.32,2799.55,42.190000000000055,92.41249999999995
2020-04-17,2842.43,2879.22,2830.88,2874.56,48.33999999999969,87.46999999999996
2020-04-20,2845.62,2868.98,2820.43,2823.16,48.55000000000018,82.02499999999995
2020-04-21,2784.81,2785.54,2727.1,2736.56,58.440000000000055,79.50349999999996
2020-04-22,2787.89,2815.1,2775.95,2799.31,39.15000000000009,76.19749999999996
2020-04-23,2810.42,2844.9,2794.26,2797.8,50.63999999999987,70.53499999999997
2020-04-24,2812.64,2842.71,2791.76,2836.74,50.94999999999982,66.26799999999994
2020-04-27,2854.65,2887.72,2852.89,2878.48,34.82999999999993,63.21499999999994
2020-04-28,2909.96,2921.15,2860.71,2863.39,60.440000000000055,61.910999999999945
2020-04-29,2918.46,2954.86,2912.16,2939.51,42.70000000000027,60.53399999999997
2020-04-30,2930.91,2930.91,2892.47,2912.43,38.440000000000055,58.69299999999996
2020-05-01,2869.09,2869.09,2821.61,2830.71,47.48000000000002,57.19549999999997
2020-05-04,2815.01,2844.24,2797.85,2842.74,46.38999999999987,55.60399999999997
2020-05-05,2868.88,2898.23,2863.55,2868.44,34.679999999999836,52.223999999999975
2020-05-06,2883.14,2891.11,2847.65,2848.42,43.460000000000036,49.43599999999999
2020-05-07,2878.26,2901.92,2876.48,2881.19,25.440000000000055,45.8355
2020-05-08,2908.83,2932.16,2902.88,2929.8,29.279999999999745,44.48899999999999
2020-05-11,2915.46,2944.25,2903.44,2930.32,40.809999999999945,43.46499999999999
2020-05-12,2939.5,2945.82,2869.59,2870.12,76.23000000000002,44.938999999999986
2020-05-13,2865.86,2874.14,2793.15,2820.0,80.98999999999978,46.97149999999997
2020-05-14,2794.54,2852.8,2766.64,2852.5,86.16000000000031,49.16999999999998
2020-05-15,2829.95,2865.01,2816.78,2863.7,48.23000000000002,49.1645
2020-05-18,2913.86,2968.09,2913.86,2953.91,54.23000000000002,49.44849999999999
2020-05-19,2948.59,2964.21,2922.35,2922.94,41.86000000000013,48.619499999999995
2020-05-20,2953.63,2980.29,2953.63,2971.61,26.659999999999854,47.99499999999998
2020-05-21,2969.95,2978.5,2938.57,2948.51,39.929999999999836,47.45949999999998
2020-05-22,2948.05,2956.76,2933.59,2955.45,23.170000000000073,46.070499999999996
2020-05-26,3004.08,3021.72,2988.17,2991.77,33.54999999999973,46.00649999999998
2020-05-27,3015.65,3036.25,2969.75,3036.13,66.5,46.30949999999998
2020-05-28,3046.61,3068.67,3023.4,3029.73,45.26999999999998,46.43799999999997
