Option d'achat Acheteur;Option d'achat Vendeur;Option d'achat Delta;Strike price;Option de vente Acheteur;Option de vente Vendeur;Option de vente Delta
115.3;118.3;0.9;6745;4.6;4.9;-0.1
110.9;113.7;0.891;6750;5.0;5.3;-0.109
106.2;109.2;0.882;6755;5.6;5.8;-0.118
101.7;104.7;0.872;6760;6.0;6.4;-0.128
97.3;100.3;0.861;6765;6.6;6.8;-0.139
92.9;95.9;0.85;6770;7.2;7.6;-0.15
88.6;91.6;0.838;6775;7.8;8.2;-0.161
84.3;87.3;0.827;6780;8.6;9.0;-0.173
80.1;83.1;0.812;6785;9.4;9.7;-0.188
76.0;79.0;0.797;6790;10.2;10.6;-0.203
71.9;75.0;0.783;6795;11.1;11.5;-0.217
68.4;69.8;0.768;6800;12.2;12.5;-0.232
63.8;67.1;0.751;6805;13.1;13.5;-0.249
60.1;63.2;0.732;6810;14.1;14.6;-0.268
57.2;58.2;0.713;6815;15.4;15.8;-0.287
53.5;54.5;0.693;6820;16.7;17.1;-0.307
49.6;50.6;0.673;6825;18.2;18.6;-0.327
46.4;47.2;0.652;6830;19.5;20.1;-0.348
42.9;43.8;0.63;6835;21.0;21.5;-0.37
39.6;40.5;0.606;6840;22.7;23.2;-0.394
36.3;37.2;0.581;6845;24.4;25.0;-0.419
32.8;33.3;0.556;6850;26.9;27.5;-0.444
29.5;30.0;0.53;6855;29.2;29.8;-0.47
26.7;27.4;0.503;6860;31.2;31.9;-0.497
24.0;24.5;0.476;6865;33.7;34.3;-0.524
21.5;22.1;0.448;6870;35.8;36.9;-0.552
19.2;19.7;0.419;6875;38.4;39.4;-0.581
16.9;17.5;0.39;6880;41.4;42.3;-0.61
14.8;15.2;0.361;6885;44.0;45.7;-0.639
13.0;13.3;0.332;6890;46.6;49.4;-0.668
12.0;12.4;0.302;6895;47.0;50.4;-0.698
10.3;10.7;0.273;6900;51.0;53.2;-0.727
8.8;9.2;0.245;6905;53.8;57.1;-0.755
7.4;7.8;0.217;6910;57.4;60.8;-0.783
6.2;6.5;0.192;6915;61.4;64.6;-0.808
5.2;5.5;0.168;6920;65.0;68.5;-0.832
4.3;4.5;0.146;6925;69.3;72.6;-0.854
3.5;3.8;0.126;6930;73.4;76.8;-0.874
2.85;3.0;0.109;6935;77.8;81.1;-0.891
2.3;2.4;0.093;6940;82.2;85.6;-0.907
1.85;1.9;0.079;6945;86.5;89.4;-0.921
1.45;1.6;0.066;6950;91.1;94.0;-0.934
1.15;1.25;0.055;6955;94.9;98.7;-0.946
0.9;1.05;0.045;6960;100.0;103.4;-0.955
0.75;0.85;0.037;6965;104.4;108.2;-0.963
0.6;0.7;0.03;6970;110.2;113.5;-0.97
0.45;0.55;0.025;6975;114.8;117.9;-0.975
0.4;0.5;0.02;6980;119.0;122.9;-0.98
0.3;0.4;0.017;6985;123.9;127.8;-0.983
0.25;0.35;0.014;6990;126.3;136.0;-0.986
0.2;0.3;0.012;6995;131.3;141.0;-0.988
