time;open;high;low;close;VWAP;Upper Band #1;Lower Band #1;Volume;RSI;RSI-based MA
2022-01-03 00:00:00 ;1828.775;1831.835;1828.09;1828.51;1829.4783333333332;1829.4783549125198;1829.4783117541467;687;;
2022-01-03 01:00:00 ;1828.51;1831.095;1827.126;1830.37;1829.50913214639;1829.5346854477777;1829.483578845002;998;;
2022-01-03 02:00:00 ;1830.37;1831.646;1827.705;1828.915;1829.4760366826156;1829.5228695977455;1829.4292037674857;1032;;
2022-01-03 03:00:00 ;1828.915;1828.955;1825.71;1826.24;1828.9409534838833;1829.969175843343;1827.9127311244235;737;;
2022-01-03 04:00:00 ;1826.24;1826.976;1824.285;1825.82;1828.444066045447;1829.948095667976;1826.940036422918;624;;
2022-01-03 05:00:00 ;1825.82;1826.02;1824.685;1825.265;1828.2509496204277;1829.8903070729748;1826.6115921678806;269;;
2022-01-03 06:00:00 ;1825.265;1825.856;1823.785;1825.545;1827.930866721854;1829.7573435522306;1826.1043898914775;485;;
2022-01-03 07:00:00 ;1825.545;1825.84;1823.755;1825.41;1827.6281084307536;1829.5739728173317;1825.6822440441756;557;;
2022-01-03 08:00:00 ;1825.41;1825.5;1821.12;1824.29;1826.815779830525;1829.1818474882903;1824.4497121727595;1377;;
2022-01-03 09:00:00 ;1824.29;1824.455;1821.45;1822.955;1826.2845395793497;1828.8531892300625;1823.715889928637;1079;;
2022-01-03 10:00:00 ;1822.955;1826.74;1822.58;1826.495;1826.1671910665311;1828.6041212851774;1823.730260847885;1028;;
2022-01-03 11:00:00 ;1826.495;1827.545;1825.615;1826.46;1826.1938732168392;1828.5439441101169;1823.8438023235615;684;;
2022-01-03 12:00:00 ;1826.46;1827.14;1822.34;1822.955;1826.0306973549048;1828.3524823056741;1823.7089124041354;827;;
2022-01-03 13:00:00 ;1822.955;1823.275;1821.385;1821.89;1825.7091499426351;1828.173672306392;1823.2446275788782;947;;
2022-01-03 14:00:00 ;1821.89;1822.07;1805.765;1807.2;1820.0981608410125;1827.2317757512528;1812.9645459307721;7551;17.385981022344353;
2022-01-03 15:00:00 ;1807.2;1810.975;1802.94;1802.985;1816.6123449906875;1825.3813749003716;1807.8433150810033;5995;15.265029355825334;
2022-01-03 16:00:00 ;1802.985;1806.76;1799.9;1801.95;1814.0868881269548;1823.6311193477425;1804.5426569061672;5601;14.787975141806669;
2022-01-03 17:00:00 ;1801.95;1802.046;1798.38;1800.735;1812.9682097846612;1822.8539792417166;1803.0824403276058;2710;14.22592978416931;
2022-01-03 18:00:00 ;1800.735;1800.985;1798.86;1799.73;1812.5129368952746;1822.5177294436758;1802.5081443468735;1194;13.760067362092883;
2022-01-03 19:00:00 ;1799.73;1802.285;1799.125;1801.725;1812.2064846383212;1822.2484725574948;1802.1644967191476;944;19.40242385848775;
2022-01-03 20:00:00 ;1801.725;1803.085;1801.125;1801.76;1812.0271982182421;1822.0706743689539;1801.9837220675304;631;19.501929433216958;
2022-01-03 21:00:00 ;1801.76;1804.595;1801.255;1801.795;1811.8431476087885;1821.8742748943528;1801.8120203232243;712;19.608814872315463;
2022-01-03 22:00:00 ;1801.795;1802.335;1801.065;1801.19;1811.7575208153035;1821.7906568806884;1801.7243847499185;307;19.135824535222795;
2022-01-04 00:00:00 ;1801.19;1804.41;1801.19;1804.27;1803.29;1803.290030517578;1803.2899694824218;313;28.58070577477895;
2022-01-04 01:00:00 ;1804.27;1804.945;1802.996;1804.48;1803.847211820852;1804.2513538398189;1803.443069801885;595;29.188001815865263;
2022-01-04 02:00:00 ;1804.48;1806.875;1803.28;1805.23;1804.7174331802662;1805.3577143211007;1804.0771520394317;1923;31.430552153409366;
2022-01-04 03:00:00 ;1805.23;1807.155;1804.755;1805.455;1804.9593154680522;1805.6789596611159;1804.2396712749885;826;32.12501819619668;
2022-01-04 04:00:00 ;1805.455;1806.245;1803.91;1804.305;1804.9348504658853;1805.5904051978957;1804.279295733875;779;30.428713148707402;21.773354746745657
