time;open;high;low;close;Volume;RSI;RSI-based MA
2020-02-07;13530.77;13551.03;13463.98;13513.81;3528092600;55.89092992990906;51.1467010927562
2020-02-10;13476;13501.74;13445.41;13494.03;2608739180;55.13687856484269;50.57722478657163
2020-02-11;13604.74;13668.43;13557.96;13627.84;4207244200;59.15182048979372;50.510368352694776
2020-02-12;13671.15;13758.7;13658.15;13749.78;3557517300;62.44977476662933;51.28268388587694
2020-02-13;13695.93;13745.43;13576.96;13745.43;4044694700;62.256673294719285;51.409184378871885
2020-02-14;13756.47;13788.51;13728.12;13744.21;3035655700;62.19858475379898;52.74202974903291
2020-02-17;13770.67;13795.24;13754.04;13783.89;2612837140;63.39489208803833;53.80546203507436
2020-02-18;13668.94;13731.39;13660.45;13681.19;3395386500;58.25611599049304;54.440425775337324
2020-02-19;13751.05;13789;13710.78;13789;3569546900;61.76034647164102;55.80821480367223
2020-02-20;13774.44;13788.41;13664;13664;3804663600;55.90092848804632;57.12510973147556
2020-02-21;13609.94;13689.23;13500.5;13579.33;5008439400;52.28261424899275;57.98323437266491
2020-02-24;13231.38;13236.58;12982.14;13035.24;7141029500;36.10844679629579;57.03307078344888
2020-02-25;13132.04;13132.04;12778.66;12790.49;5752237600;31.402325742865287;55.31140942721196
2020-02-26;12682.16;12849.17;12368.05;12774.88;7643868700;31.12370689680897;53.37957418020533
2020-02-27;12526.6;12593.62;12211.63;12367.46;7903699500;24.911193539726;51.16673586662083
2020-02-28;11891.87;12008.59;11724.12;11890.35;11786903900;19.90139375861318;48.64991552331872
2020-03-02;12030.27;12121.6;11624.63;11857.87;8167249600;19.612235816818924;45.82565947524909
2020-03-03;12013.06;12272.99;11906.82;11985.39;8055979400;24.26484039943476;43.09816416330661
2020-03-04;11992.59;12199.82;11929.24;12127.69;5986297400;29.18991262709487;40.73625268704773
2020-03-05;12191.41;12207.77;11844.88;11944.72;5837393200;26.778553759583957;38.206250473175224
2020-03-06;11694.56;11769.85;11447.2;11541.87;7320722800;22.39245060300263;35.27750465281554
2020-03-09;10690.08;10995.22;10556.64;10625.02;11491226400;15.978060283109699;32.25764353085958
2020-03-10;10724.98;11032.29;10423.9;10475.49;9917035300;15.212685124818378;28.93281057751511
2020-03-11;10601.85;10761.43;10390.51;10438.68;7878265600;15.02192046056787;26.012881432695217
