date;quarter;type
2026-03-18;Q2-2026;earnings
2025-12-17;Q1-2026;earnings
2025-09-23;Q4-2025;earnings
2025-06-25;Q3-2025;earnings
2025-03-20;Q2-2025;earnings
2024-12-18;Q1-2025;earnings
2024-09-25;Q4-2024;earnings
2024-06-26;Q3-2024;earnings
2024-03-20;Q2-2024;earnings
2023-12-20;Q1-2024;earnings
2023-09-27;Q4-2023;earnings
2023-06-28;Q3-2023;earnings
2023-03-28;Q2-2023;earnings
2022-12-21;Q1-2023;earnings
2022-09-29;Q4-2022;earnings
2022-06-30;Q3-2022;earnings
2022-03-29;Q2-2022;earnings
2021-12-20;Q1-2022;earnings
2021-09-28;Q4-2021;earnings
2021-06-30;Q3-2021;earnings
2021-03-31;Q2-2021;earnings
2021-01-07;Q1-2021;earnings
