ticker,date_j0,close_j0,close_j1,return_close_j1_pct,return_lowmin_j1_pct,close_j2,return_close_j2_pct,return_lowmin_j2_pct,close_j3,return_close_j3_pct,return_lowmin_j3_pct,close_j4,return_close_j4_pct,return_lowmin_j4_pct,close_j5,return_close_j5_pct,return_lowmin_j5_pct
AAOI,2021-04-29,7.91,7.4,-6.4475,-6.4475,7.23,-8.5967,-8.7231,7.39,-6.574,-13.1479,7.08,-10.493,-13.1479,7.18,-9.2288,-14.665
AAOI,2021-08-02,7.64,7.49,-1.9634,-4.4503,7.71,0.9162,-4.4503,7.27,-4.8429,-5.7592,7.18,-6.0209,-10.3403,7.52,-1.5707,-10.3403
AAOI,2021-09-09,7.72,7.43,-3.7565,-4.1451,7.43,-3.7565,-6.6062,7.21,-6.6062,-7.772,7.28,-5.6995,-8.6788,7.46,-3.3679,-8.6788
AAOI,2021-11-04,7.2,5.87,-18.4722,-20.1389,5.9,-18.0556,-22.0833,5.72,-20.5556,-22.0833,5.8,-19.4444,-22.9167,6.05,-15.9722,-22.9167
AAOI,2021-12-16,5.44,5.67,4.2279,-2.7574,5.38,-1.1029,-2.9412,5.47,0.5515,-2.9412,5.46,0.3676,-2.9412,5.64,3.6765,-2.9412
AAOI,2022-02-22,4.1,3.81,-7.0732,-7.0732,4.09,-0.2439,-14.878,3.35,-18.2927,-18.2927,3.58,-12.6829,-18.5366,3.62,-11.7073,-18.5366
AAOI,2022-11-09,2.09,2.205,5.5024,-0.9569,2.33,11.4833,-0.9569,2.311,10.5742,-0.9569,2.35,12.4402,-0.9569,2.15,2.8708,-0.9569
AAOI,2023-03-17,2.36,2.4,1.6949,-0.8475,2.43,2.9661,-0.8475,2.37,0.4237,-0.8475,2.46,4.2373,-0.8475,2.38,0.8475,-0.8475
AAOI,2023-08-24,13.94,12.9798,-6.8881,-8.2496,13.05,-6.3845,-8.4648,14.2,1.8651,-8.4648,15.11,8.3931,-8.4648,13.9,-0.2869,-8.4648
AAOI,2023-08-31,13.9,13.99,0.6475,-2.8777,13.0,-6.4748,-7.8417,12.6,-9.3525,-13.4532,12.45,-10.4317,-14.7482,11.85,-14.7482,-16.9065
AAOI,2023-11-17,12.6,14.64,16.1905,1.746,13.11,4.0476,1.746,13.21,4.8413,1.746,13.0,3.1746,1.746,14.5,15.0794,-0.7937
AAOI,2024-01-19,15.89,17.18,8.1183,0.0,18.18,14.4116,0.0,16.51,3.9018,0.0,16.16,1.6992,0.0,14.99,-5.6639,-6.3562
AAOI,2024-02-13,19.06,21.28,11.6474,0.7345,22.41,17.5761,0.7345,21.5,12.8017,0.7345,19.58,2.7282,-0.9963,20.35,6.7681,-3.043
AAOI,2024-02-22,13.4499,14.0012,4.0989,-13.3823,14.76,9.7406,-13.3823,15.31,13.8298,-13.3823,14.42,7.2127,-13.3823,16.06,19.4061,-13.3823
AAOI,2024-04-04,12.77,12.6,-1.3312,-1.9577,12.37,-3.1323,-4.6985,12.19,-4.5419,-5.9514,11.66,-8.6922,-10.1018,11.91,-6.7345,-10.1018
AAOI,2024-04-22,11.1,11.3,1.8018,-0.7658,10.76,-3.0631,-3.0631,10.84,-2.3423,-5.9459,10.81,-2.6126,-5.9459,10.12,-8.8288,-8.8288
AAOI,2024-04-29,10.12,9.86,-2.5692,-4.0514,9.9,-2.1739,-4.7431,10.35,2.2727,-4.7431,11.0,8.6957,-4.7431,11.98,18.3794,-4.7431
AAOI,2024-05-23,11.8,12.84,8.8136,-0.0847,12.25,3.8136,-0.0847,12.06,2.2034,-0.0847,11.61,-1.6102,-2.1186,10.79,-8.5593,-12.2873
AAOI,2024-10-25,17.38,16.42,-5.5236,-6.7894,15.85,-8.8032,-12.6007,16.161,-7.0138,-13.6939,15.99,-7.9977,-13.6939,16.92,-2.6467,-13.6939
AAOI,2024-11-06,16.4601,19.3,17.2532,-1.5802,27.5,67.0707,-1.5802,28.29,71.8702,-1.5802,28.1,70.7159,-1.5802,27.17,65.0658,-1.5802
AAOI,2025-01-02,35.89,38.1999,6.4361,-1.5882,34.08,-5.0432,-6.5756,33.06,-7.8852,-9.4177,32.85,-8.4703,-11.1354,31.495,-12.2458,-15.4639
AAOI,2025-01-06,34.08,33.06,-2.993,-4.6068,32.85,-3.6092,-6.4158,31.495,-7.5851,-10.9742,29.1,-14.6127,-16.6667,27.79,-18.4566,-20.7746
AAOI,2025-06-27,26.21,25.6,-2.3274,-3.3957,25.43,-2.976,-9.0042,26.73,1.984,-9.0042,28.62,9.195,-9.0042,26.4,0.7249,-9.0042
AAOI,2025-07-28,25.28,24.24,-4.1139,-5.1028,24.2,-4.2722,-11.3924,22.8,-9.8101,-11.3924,21.55,-14.7547,-17.1677,22.18,-12.2627,-17.1677
AAOI,2025-08-05,21.22,23.3001,9.8025,0.0,21.69,2.2149,-5.278,21.74,2.4505,-5.278,20.71,-2.4034,-6.2912,23.18,9.2366,-6.2912
AAOI,2025-10-29,35.48,35.8,0.9019,-3.8895,35.59,0.31,-3.8895,33.0,-6.9899,-7.469,29.0001,-18.2635,-20.5186,31.61,-10.9076,-20.5186
AAOI,2025-11-06,24.51,28.94,18.0743,-3.1416,25.22,2.8968,-3.1416,23.89,-2.5296,-4.0392,23.84,-2.7336,-4.3248,21.24,-13.3415,-18.7271
AAOI,2025-11-20,19.4344,20.8391,7.2279,-6.3002,22.5,15.7741,-6.3002,22.75,17.0605,-6.3002,25.61,31.7766,-6.3002,27.0,38.9289,-6.3002
AAOI,2025-12-26,37.03,36.66,-0.9992,-2.2414,35.92,-2.9976,-3.2136,34.97,-5.5631,-6.0221,39.7836,7.4361,-6.0221,35.0,-5.482,-6.0221
AAOI,2026-01-05,35.0,38.4,9.7143,-2.8,37.6,7.4286,-2.8,33.1238,-5.3606,-9.5143,34.03,-2.7714,-9.5143,33.7,-3.7143,-9.5143
AAOI,2026-03-12,101.1,95.3,-5.7369,-6.8744,92.8841,-8.1265,-9.001,88.25,-12.7102,-15.8457,91.7912,-9.2075,-15.8457,105.34,4.1939,-15.8457
AAOI,2026-04-21,155.03,147.04,-5.1538,-10.585,140.8,-9.1789,-14.4488,162.17,4.6056,-14.4488,,,,,,
ABTC,2021-05-13,6640.0,6820.0,2.7108,-2.4096,7220.0,8.7349,-2.4096,7020.0,5.7229,-2.4096,6920.0,4.2169,-2.4096,7200.0,8.4337,-2.4096
ABTC,2021-07-14,7380.0,7440.0,0.813,-3.252,7400.0,0.271,-3.252,7260.0,-1.626,-4.878,7300.0,-1.084,-4.878,7300.0,-1.084,-4.878
ABTC,2021-09-14,6120.0,6020.0,-1.634,-1.9608,6060.0,-0.9804,-6.8627,5960.0,-2.6144,-6.8627,5640.0,-7.8431,-8.1699,5800.0,-5.2288,-8.1699
ABTC,2021-12-09,4360.0,4280.0,-1.8349,-3.211,4200.0,-3.6697,-6.8807,4100.0,-5.9633,-11.9266,4100.0,-5.9633,-11.9266,4140.0,-5.0459,-11.9266
ABTC,2023-03-17,77.92,80.0,2.6694,-3.7474,81.37,4.4276,-5.0308,76.99,-1.1935,-5.0308,78.0,0.1027,-5.0308,78.79,1.1165,-5.0308
ABTC,2023-03-22,76.99,78.0,1.3119,1.3119,78.79,2.338,-2.4938,81.0,5.2085,-6.4554,83.58,8.5596,-6.4554,76.86,-0.1689,-6.4554
ABTC,2023-05-26,75.0,75.0,0.0,-4.0,76.0,1.3333,-5.3333,72.99,-2.68,-10.6667,72.99,-2.68,-10.6667,70.0,-6.6667,-10.6667
ABTC,2023-08-29,29.1,31.61,8.6254,-0.3436,37.0,27.1478,-0.3436,31.0,6.5292,-0.3436,32.0,9.9656,-0.3436,29.0,-0.3436,-3.7457
ABTC,2023-11-21,28.0,29.0,3.5714,-1.6786,30.17,7.75,-5.25,30.3,8.2143,-5.25,29.37,4.8929,-7.1429,28.81,2.8929,-7.1429
ABTC,2024-01-11,33.0,34.82,5.5152,-2.697,32.0,-3.0303,-13.4545,29.84,-9.5758,-13.4545,29.66,-10.1212,-13.4545,27.21,-17.5455,-19.4242
ABTC,2024-06-12,6.55,6.7,2.2901,-6.1069,6.35,-3.0534,-6.1069,6.3,-3.8168,-6.1069,6.55,0.0,-8.3969,6.3415,-3.1832,-8.3969
ABTC,2024-08-20,3.8205,3.8415,0.5497,-4.4628,3.705,-3.0232,-4.4628,4.0,4.6983,-4.4628,3.9245,2.7222,-4.4628,3.7,-3.154,-4.4628
ABTC,2024-09-19,2.522,2.5545,1.2887,-0.4758,2.8,11.023,-0.4758,2.845,12.8073,-0.4758,2.8555,13.2236,-0.4758,3.103,23.0373,-0.4758
ABTC,2025-04-03,0.7745,0.7725,-0.2582,-8.5862,0.741,-4.3254,-16.0749,0.6725,-13.1698,-16.0749,0.725,-6.3912,-18.98,0.7995,3.2279,-18.98
ABTC,2025-06-05,5.2985,5.6,5.6903,-2.8027,5.8495,10.3992,-2.8027,5.7,7.5776,-2.8027,5.3,0.0283,-2.8027,5.0,-5.6337,-5.6337
ABTC,2025-07-28,5.55,5.35,-3.6036,-5.4054,5.1,-8.1081,-9.9099,5.45,-1.8018,-11.2613,5.4,-2.7027,-11.2613,5.9505,7.2162,-11.2613
ABTC,2025-08-26,6.3,5.95,-5.5556,-5.5794,8.645,37.2222,-5.5794,7.7995,23.8016,-5.5794,7.5495,19.8333,-5.5794,8.45,34.127,-5.5794
ABTC,2025-12-10,1.95,1.86,-4.6154,-9.2308,1.8199,-6.6718,-10.2564,1.6699,-14.3641,-15.8974,1.65,-15.3846,-20.0,1.69,-13.3333,-20.0
ABTC,2025-12-29,1.79,1.72,-3.9106,-3.9106,1.72,-3.9106,-5.8659,1.8298,2.2235,-5.8659,2.021,12.905,-5.8659,1.99,11.1732,-5.8659
ABTC,2026-01-14,1.78,1.7001,-4.4888,-5.618,1.67,-6.1798,-8.427,1.5531,-12.7472,-14.0449,1.5898,-10.6854,-15.1685,1.57,-11.7978,-15.1685
ABTC,2026-02-03,1.3201,1.2898,-2.2953,-5.3102,1.1397,-13.6656,-15.1579,1.3196,-0.0379,-15.1579,1.27,-3.7952,-15.1579,1.22,-7.5828,-15.1579
ACHR,2022-03-28,4.64,5.0,7.7586,-2.8017,4.94,6.4655,-2.8017,4.8,3.4483,-2.8017,4.75,2.3707,-2.8017,4.9,5.6034,-2.8017
ACHR,2023-01-23,2.72,2.59,-4.7794,-6.6176,2.57,-5.5147,-10.8456,2.61,-4.0441,-10.8456,2.8,2.9412,-10.8456,2.77,1.8382,-10.8456
ACHR,2023-04-05,2.65,2.66,0.3774,-4.1509,2.58,-2.6415,-4.9057,2.63,-0.7547,-4.9057,2.51,-5.283,-8.6792,2.34,-11.6981,-14.3396
ACHR,2023-05-02,1.9301,2.04,5.694,1.031,2.04,5.694,1.031,2.12,9.8389,1.031,2.19,13.4656,1.031,2.22,15.0199,1.031
ACHR,2023-07-11,4.5,4.9,8.8889,-0.8889,5.1591,14.6467,-0.8889,4.9,8.8889,-0.8889,5.26,16.8889,-0.8889,5.28,17.3333,-0.8889
ACHR,2023-07-27,4.68,4.82,2.9915,-1.7094,6.88,47.0085,-1.7094,6.45,37.8205,-1.7094,6.41,36.9658,-1.7094,6.13,30.9829,-1.7094
ACHR,2023-08-24,6.6,5.9,-10.6061,-14.8485,6.34,-3.9394,-14.8485,6.9699,5.6045,-14.8485,6.93,5.0,-14.8485,7.09,7.4242,-14.8485
ACHR,2023-09-15,6.4316,6.27,-2.5126,-2.8236,6.17,-4.0674,-6.0887,6.05,-5.9332,-7.3325,5.54,-13.8628,-15.7286,5.2,-19.1492,-20.0821
ACHR,2023-10-18,5.13,5.15,0.3899,-3.5088,4.93,-3.8986,-5.4581,4.9,-4.4834,-9.7466,4.93,-3.8986,-9.7466,4.54,-11.501,-12.2807
ACHR,2023-10-25,4.54,4.8,5.7269,-2.8634,4.52,-0.4405,-2.8634,4.65,2.4229,-3.304,4.59,1.1013,-3.304,4.66,2.6432,-3.304
ACHR,2024-02-02,4.9397,4.72,-4.4476,-6.4721,5.03,1.828,-6.4721,4.94,0.0061,-6.4721,5.18,4.8647,-6.4721,5.42,9.7233,-6.4721
ACHR,2024-03-01,4.6,4.57,-0.6522,-3.913,4.3,-6.5217,-10.8696,4.3,-6.5217,-10.8696,4.34,-5.6522,-13.0435,4.7293,2.8109,-13.0435
ACHR,2024-04-30,3.88,4.03,3.866,-1.8041,4.04,4.1237,-1.8041,3.9595,2.049,-1.8041,3.96,2.0619,-1.8041,3.93,1.2887,-1.8041
ACHR,2024-05-10,3.68,3.8,3.2609,-0.8152,4.02,9.2391,-0.8152,3.94,7.0652,-0.8152,3.82,3.8043,-0.8152,3.72,1.087,-2.1739
ACHR,2024-12-02,7.16,6.66,-6.9832,-12.5698,7.06,-1.3966,-12.5698,7.95,11.0335,-12.5698,8.3,15.9218,-12.5698,7.77,8.5196,-12.5698
ACHR,2025-02-27,7.0,8.8698,26.7114,-5.2857,7.91,13.0,-5.2857,8.15,16.4286,-5.2857,8.15,16.4286,-5.2857,7.61,8.7143,-5.2857
ACHR,2025-04-30,8.4692,8.4483,-0.2468,-3.6509,9.3,9.8097,-3.6509,8.65,2.1348,-3.6509,8.6383,1.9966,-3.6509,8.58,1.3083,-3.6509
